name,value,created_at,updated_at,id,device_id
agenda_widgets,0,2017-09-11 19:40:37,2017-09-11 19:40:37,21576151,00674ed7e83c2b047ff6873a18f78261
build_brand,samsung,2017-09-11 19:40:37,2017-09-11 19:40:37,21576144,00674ed7e83c2b047ff6873a18f78261
build_manufacturer,samsung,2017-09-11 19:40:37,2017-09-11 19:40:37,21576143,00674ed7e83c2b047ff6873a18f78261
build_model,GT-I9500,2017-09-11 19:40:37,2017-09-11 19:40:37,21576145,00674ed7e83c2b047ff6873a18f78261
launcher,com.cyanogenmod.trebuchet,2017-09-11 19:40:37,2017-09-28 19:40:25,21576150,00674ed7e83c2b047ff6873a18f78261
model,Galaxy S4,2017-09-11 19:40:37,2017-09-11 19:40:37,21576142,00674ed7e83c2b047ff6873a18f78261
os,android,2017-09-11 19:40:37,2017-09-11 19:40:37,21576146,00674ed7e83c2b047ff6873a18f78261
os_version,7.1.2,2017-09-11 19:40:37,2017-09-11 19:40:37,21576147,00674ed7e83c2b047ff6873a18f78261
play_services_status,0,2017-09-11 19:40:37,2017-09-11 19:40:37,21576149,00674ed7e83c2b047ff6873a18f78261
sdk,25,2017-09-11 19:40:37,2017-09-11 19:40:37,21576148,00674ed7e83c2b047ff6873a18f78261
to_watch_widgets,0,2017-09-11 19:40:37,2017-09-11 19:40:37,21576152,00674ed7e83c2b047ff6873a18f78261
agenda_widgets,1,2019-11-12 00:37:48,2019-11-13 01:26:26,115787353,075885ebac616ba8262e468f2387cf37
build_brand,Xiaomi,2019-11-12 00:37:48,2019-11-15 03:29:36,115787346,075885ebac616ba8262e468f2387cf37
build_manufacturer,Xiaomi,2019-11-12 00:37:48,2019-11-15 03:29:36,115787345,075885ebac616ba8262e468f2387cf37
build_model,Redmi Note 5,2019-11-12 00:37:48,2019-11-15 03:29:36,115787347,075885ebac616ba8262e468f2387cf37
launcher,ch.deletescape.lawnchair.ci,2019-11-12 00:37:48,2019-11-12 18:37:01,115787352,075885ebac616ba8262e468f2387cf37
model,Redmi Note 5,2019-11-12 00:37:48,2019-11-15 03:29:36,115787344,075885ebac616ba8262e468f2387cf37
os,android,2019-11-12 00:37:48,2019-11-12 00:37:48,115787348,075885ebac616ba8262e468f2387cf37
os_version,10,2019-11-12 00:37:48,2019-11-12 00:37:48,115787349,075885ebac616ba8262e468f2387cf37
play_services_status,0,2019-11-12 00:37:48,2019-11-12 00:37:48,115787351,075885ebac616ba8262e468f2387cf37
sdk,29,2019-11-12 00:37:48,2019-11-12 00:37:48,115787350,075885ebac616ba8262e468f2387cf37
to_watch_widgets,1,2019-11-12 00:37:48,2019-11-12 23:54:15,115787354,075885ebac616ba8262e468f2387cf37
agenda_widgets,0,2018-01-08 01:31:07,2018-01-08 01:31:07,37505363,1001ba23c0ee48175cc27eb347564d62
build_brand,samsung,2018-01-08 01:31:07,2018-01-08 01:31:07,37505356,1001ba23c0ee48175cc27eb347564d62
build_manufacturer,samsung,2018-01-08 01:31:07,2018-01-08 01:31:07,37505355,1001ba23c0ee48175cc27eb347564d62
build_model,GT-I9500,2018-01-08 01:31:07,2018-01-08 01:31:07,37505357,1001ba23c0ee48175cc27eb347564d62
launcher,is.shortcut,2018-01-08 01:31:07,2018-01-08 01:31:07,37505362,1001ba23c0ee48175cc27eb347564d62
model,Galaxy S4,2018-01-08 01:31:07,2018-01-08 01:31:07,37505354,1001ba23c0ee48175cc27eb347564d62
os,android,2018-01-08 01:31:07,2018-01-08 01:31:07,37505358,1001ba23c0ee48175cc27eb347564d62
os_version,5.0.1,2018-01-08 01:31:07,2018-01-08 01:31:07,37505359,1001ba23c0ee48175cc27eb347564d62
play_services_status,0,2018-01-08 01:31:07,2018-01-08 01:31:07,37505361,1001ba23c0ee48175cc27eb347564d62
sdk,21,2018-01-08 01:31:07,2018-01-08 01:31:07,37505360,1001ba23c0ee48175cc27eb347564d62
to_watch_widgets,0,2018-01-08 01:31:07,2018-01-08 01:31:07,37505364,1001ba23c0ee48175cc27eb347564d62
agenda_widgets,0,2020-01-08 21:49:09,2020-09-16 21:59:27,123900630,1da10048b7411db4ac2cf5a786c9df9a
build_brand,Xiaomi,2020-01-08 21:49:09,2021-09-16 06:13:30,123900623,1da10048b7411db4ac2cf5a786c9df9a
build_manufacturer,Xiaomi,2020-01-08 21:49:09,2021-09-16 06:13:30,123900622,1da10048b7411db4ac2cf5a786c9df9a
build_model,Redmi Note 5,2020-01-08 21:49:09,2021-09-16 06:13:30,123900624,1da10048b7411db4ac2cf5a786c9df9a
launcher,com.android.launcher3,2020-01-08 21:49:09,2021-11-21 04:49:07,123900629,1da10048b7411db4ac2cf5a786c9df9a
model,Redmi 5 Plus,2020-01-08 21:49:09,2021-09-16 06:13:30,123900621,1da10048b7411db4ac2cf5a786c9df9a
os,android,2020-01-08 21:49:09,2020-01-08 21:49:09,123900625,1da10048b7411db4ac2cf5a786c9df9a
os_version,11,2020-01-08 21:49:09,2020-12-17 05:47:39,123900626,1da10048b7411db4ac2cf5a786c9df9a
play_services_status,0,2020-01-08 21:49:09,2020-01-08 21:49:09,123900628,1da10048b7411db4ac2cf5a786c9df9a
sdk,30,2020-01-08 21:49:09,2020-12-17 05:47:39,123900627,1da10048b7411db4ac2cf5a786c9df9a
to_watch_widgets,0,2020-01-08 21:49:09,2021-10-24 20:50:20,123900631,1da10048b7411db4ac2cf5a786c9df9a
agenda_widgets,0,2022-01-16 04:14:08,2022-01-16 04:14:08,206434205,1dd65e903c12c6b87ae0af06e53c79ec
build_brand,samsung,2022-01-16 04:14:08,2022-01-16 04:14:08,206434198,1dd65e903c12c6b87ae0af06e53c79ec
build_manufacturer,samsung,2022-01-16 04:14:08,2022-01-16 04:14:08,206434197,1dd65e903c12c6b87ae0af06e53c79ec
build_model,SM-A325M,2022-01-16 04:14:08,2022-01-16 04:14:08,206434199,1dd65e903c12c6b87ae0af06e53c79ec
launcher,com.sec.android.app.launcher,2022-01-16 04:14:08,2022-01-16 04:14:08,206434204,1dd65e903c12c6b87ae0af06e53c79ec
model,a32,2022-01-16 04:14:08,2022-01-16 04:14:08,206434196,1dd65e903c12c6b87ae0af06e53c79ec
os,android,2022-01-16 04:14:08,2022-01-16 04:14:08,206434200,1dd65e903c12c6b87ae0af06e53c79ec
os_version,11,2022-01-16 04:14:08,2022-01-16 04:14:08,206434201,1dd65e903c12c6b87ae0af06e53c79ec
play_services_status,0,2022-01-16 04:14:08,2022-01-16 04:14:08,206434203,1dd65e903c12c6b87ae0af06e53c79ec
sdk,30,2022-01-16 04:14:08,2022-01-16 04:14:08,206434202,1dd65e903c12c6b87ae0af06e53c79ec
to_watch_widgets,0,2022-01-16 04:14:08,2022-02-17 03:22:26,206434206,1dd65e903c12c6b87ae0af06e53c79ec
agenda_widgets,0,2017-10-28 16:20:24,2017-10-28 16:20:24,28043677,30270dfc2e6970dd6b67c47aa1a7b219
build_brand,samsung,2017-10-28 16:20:24,2017-10-28 16:20:24,28043670,30270dfc2e6970dd6b67c47aa1a7b219
build_manufacturer,samsung,2017-10-28 16:20:24,2017-10-28 16:20:24,28043669,30270dfc2e6970dd6b67c47aa1a7b219
build_model,GT-I9500,2017-10-28 16:20:24,2017-10-28 16:20:24,28043671,30270dfc2e6970dd6b67c47aa1a7b219
launcher,is.shortcut,2017-10-28 16:20:24,2017-10-28 16:20:24,28043676,30270dfc2e6970dd6b67c47aa1a7b219
model,Galaxy S4,2017-10-28 16:20:24,2017-10-28 16:20:24,28043668,30270dfc2e6970dd6b67c47aa1a7b219
os,android,2017-10-28 16:20:24,2017-10-28 16:20:24,28043672,30270dfc2e6970dd6b67c47aa1a7b219
os_version,5.0.1,2017-10-28 16:20:24,2017-10-28 16:20:24,28043673,30270dfc2e6970dd6b67c47aa1a7b219
play_services_status,0,2017-10-28 16:20:24,2017-10-28 16:20:24,28043675,30270dfc2e6970dd6b67c47aa1a7b219
sdk,21,2017-10-28 16:20:24,2017-10-28 16:20:24,28043674,30270dfc2e6970dd6b67c47aa1a7b219
