season_number,episode_number,vote_key,episode_id,user_id,series_name
1,1,155935-13991889-13,155935,13991889,Avatar: The Last Airbender
1,2,155936-13991889-13,155936,13991889,Avatar: The Last Airbender
1,3,155937-13991889-30,155937,13991889,Avatar: The Last Airbender
1,3,155937-13991889-15,155937,13991889,Avatar: The Last Airbender
1,4,155938-13991889-13,155938,13991889,Avatar: The Last Airbender
1,14,155947-13991889-13,155947,13991889,Avatar: The Last Airbender
1,17,295483-13991889-27,295483,13991889,Avatar: The Last Airbender
1,17,295483-13991889-29,295483,13991889,Avatar: The Last Airbender
1,17,295483-13991889-30,295483,13991889,Avatar: The Last Airbender
1,17,295483-13991889-15,295483,13991889,Avatar: The Last Airbender
1,1,296054-13991889-13,296054,13991889,Drawn Together
1,15,300635-13991889-13,300635,13991889,Avatar: The Last Airbender
1,16,301700-13991889-13,301700,13991889,Avatar: The Last Airbender
1,18,301701-13991889-19,301701,13991889,Avatar: The Last Airbender
1,19,301702-13991889-19,301702,13991889,Avatar: The Last Airbender
1,19,301702-13991889-28,301702,13991889,Avatar: The Last Airbender
1,19,301702-13991889-18,301702,13991889,Avatar: The Last Airbender
1,20,301703-13991889-19,301703,13991889,Avatar: The Last Airbender
3,10,2062411-13991889-37,2062411,13991889,Breaking Bad
1,1,4077754-13991889-28,4077754,13991889,Suits
4,4,4123350-13991889-14,4123350,13991889,Breaking Bad
4,4,4123350-13991889-38,4123350,13991889,Breaking Bad
4,5,4123351-13991889-14,4123351,13991889,Breaking Bad
4,5,4123351-13991889-38,4123351,13991889,Breaking Bad
1,1,4663020-13991889-21,4663020,13991889,Better Call Saul
1,1,4663020-13991889-38,4663020,13991889,Better Call Saul
1,15,4921347-13991889-19,4921347,13991889,Akame ga Kill!
1,16,4921348-13991889-28,4921348,13991889,Akame ga Kill!
1,16,4921348-13991889-18,4921348,13991889,Akame ga Kill!
1,17,4921349-13991889-28,4921349,13991889,Akame ga Kill!
1,17,4921349-13991889-15,4921349,13991889,Akame ga Kill!
1,17,4921349-13991889-29,4921349,13991889,Akame ga Kill!
1,17,4921349-13991889-27,4921349,13991889,Akame ga Kill!
