comment,updated_at,posted_on_twitter,extended_comment,source,id,user_id,depth,episode_id,created_at,same_ip_likes,episode_season_number,episode_number,highlight_level,valid,unappropriate_count,nb_likes,lang,parent_comment_id,comment_type,nb_points,posted_on_fb,spoiler_count,tv_show_name
Donde continúa el crossover?,2018-12-11 03:06:09,0,null,mobile,15281466,13991889,0,6881113,2018-12-11 03:06:08,0,5,9,5,0,0,0,pt,,comment,0,0,0,The Flash (2014)
Does it really exists?,2019-06-23 03:20:35,0,,mobile,17546147,13991889,1,7192545,2019-06-09 18:49:26,0,5,2,5,0,0,4,en,17532108,comment,40,0,0,Black Mirror
He's always related with death lol,2019-08-04 18:54:12,0,,mobile,18213376,13991889,1,7306300,2019-08-04 18:54:10,0,3,1,5,0,0,0,en,18210159,comment,0,0,0,13 Reasons Why
Real?,2026-01-28 08:43:26,0,,mobile,18213381,13991889,1,7306300,2019-08-04 18:54:38,0,3,1,5,0,0,2,es,18205909,comment,20,0,0,13 Reasons Why
How could Black Lightning be introduced to the Arrowverse? supposedly he will be in the crossover (crisis),2019-08-26 23:40:54,0,null,mobile,18213413,13991889,0,7249297,2019-08-04 18:57:37,0,6,1,5,0,0,2,en,,comment,20,0,0,The Flash (2014)
Whaaaat,2019-09-23 14:40:59,0,null,mobile,18683545,13991889,0,7187966,2019-09-23 14:40:59,0,1,19,5,0,0,0,es,,comment,0,0,0,Disenchantment
@RichardBarta i know! But i cannot imagine the way BL will be introduced,2019-10-03 00:37:45,0,"{""data"":{""user_15607526_RichardBarta"":{""label"":""RichardBarta"",""type"":""user"",""id"":15607526},""value"":""@[user_15607526_RichardBarta] i know! But i cannot imagine the way BL will be introduced""}}",mobile,18769790,13991889,1,7249297,2019-10-03 00:06:58,0,6,1,5,0,0,0,en,18213413,comment,0,0,0,The Flash (2014)
When is the crisis crossover?,2023-08-27 10:45:06,0,null,mobile,19186739,13991889,0,7447100,2019-11-19 03:50:08,0,3,6,5,0,0,15,en,,comment,150,0,0,Black Lightning
2016-2018 🤯,2019-12-23 00:48:15,0,null,mobile,19452302,13991889,0,5692427,2019-12-23 00:48:15,0,3,1,5,0,0,0,es,,comment,0,0,0,Black Mirror
"Yeh, the 00 episode
I still have it marked as seen 🤔",2020-01-22 07:20:33,0,,mobile,19707717,13991889,1,7287661,2020-01-22 07:20:28,0,5,2,5,0,0,0,en,19566783,comment,0,0,0,DC's Legends of Tomorrow
GENIAL,2021-10-24 06:17:53,0,null,mobile,27466164,13991889,0,8616998,2021-10-24 06:17:50,0,1,1,5,0,0,0,es,,comment,0,0,0,Inside Job
