tv_show_name,episode_season_number,episode_number,user_id,episode_id,last_comment_read_date,created_at,updated_at
Rick and Morty,1,1,13991889,4711142,2017-08-29 01:27:40 +0000 UTC,2017-08-29 01:27:40,2017-08-29 01:27:40
Steven Universe,2,10,13991889,5360125,2018-09-08 21:55:26 +0000 UTC,2018-09-08 21:55:26,2018-09-08 21:55:26
Narcos,2,10,13991889,5734728,2017-07-11 22:57:58 +0000 UTC,2017-07-11 22:57:58,2017-07-11 22:57:58
Mr. Robot,3,1,13991889,6003195,2017-08-08 23:49:26 +0000 UTC,2017-08-08 23:49:26,2017-08-08 23:49:26
Disjointed,1,4,13991889,6055031,2017-12-11 15:40:53 +0000 UTC,2017-12-11 15:40:53,2017-12-11 15:40:53
Silicon Valley,4,10,13991889,6081570,2017-08-15 02:11:11 +0000 UTC,2017-08-15 02:11:11,2017-08-15 02:11:11
Mr. Robot,3,6,13991889,6141716,2018-01-04 19:38:12 +0000 UTC,2018-01-04 19:38:08,2018-01-04 19:38:12
Narcos,3,10,13991889,6195671,2017-10-11 03:26:00 +0000 UTC,2017-10-11 03:26:00,2017-10-11 03:26:00
Final Space,1,1,13991889,6218771,2018-07-29 01:56:39 +0000 UTC,2018-07-29 01:56:23,2018-07-29 01:56:39
Dragon Ball Super,5,35,13991889,6326255,2017-10-10 00:04:00 +0000 UTC,2017-10-10 00:04:00,2017-10-10 00:04:00
Happy!,1,2,13991889,6374933,2018-07-16 03:58:30 +0000 UTC,2018-07-16 03:58:17,2018-07-16 03:58:30
Altered Carbon,1,2,13991889,6440563,2018-02-27 01:20:52 +0000 UTC,2018-02-27 01:20:52,2018-02-27 01:20:52
Altered Carbon,1,8,13991889,6440569,2018-03-01 06:38:11 +0000 UTC,2018-03-01 06:38:11,2018-03-01 06:38:11
Money Heist,1,15,13991889,6472375,2018-04-13 01:59:32 +0000 UTC,2018-04-13 01:59:32,2018-04-13 01:59:32
Dragon Ball Super,5,55,13991889,6511238,2018-07-16 03:58:45 +0000 UTC,2018-07-16 03:58:45,2018-07-16 03:58:45
Final Space,1,7,13991889,6580217,2018-07-29 01:55:07 +0000 UTC,2018-07-29 01:54:58,2018-07-29 01:55:07
