source,created_at,updated_at,tv_show_name,user_id,tv_show_id
recommendation,2017-11-05 22:16:22,2017-11-05 22:16:22,American Dad!,13991889,73141
recommendation,2017-11-05 22:16:47,2017-11-05 22:16:47,Lost,13991889,73739
search,2017-07-11 22:06:49,2017-07-11 22:06:49,Dragon Ball,13991889,76666
search,2017-07-11 22:06:49,2017-07-11 22:06:49,Dragon Ball GT,13991889,79275
search,2017-11-05 22:13:44,2017-11-05 22:13:44,The Big Bang Theory,13991889,80379
search,2017-08-26 00:04:57,2017-08-26 00:04:57,Happy Tree Friends,13991889,80534
recommendation,2017-11-05 22:16:45,2017-11-05 22:16:45,Breaking Bad,13991889,81189
search,2017-07-11 22:06:49,2017-07-11 22:06:49,Dragon Ball Z,13991889,81472
see-episode,2020-11-16 01:05:02,2020-11-16 01:05:02,One Piece,13991889,81797
see-season,2017-12-11 02:15:35,2017-12-11 02:15:35,V (2009),13991889,94971
see-episode,2023-11-03 02:35:28,2023-11-03 02:35:28,Suits,13991889,247808
/detail/show/250749/discover,2018-02-07 23:58:32,2018-02-07 23:58:32,3%,13991889,250749
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,Black Mirror,13991889,253463
/detail/show/275274/detail/show/,2017-08-29 01:34:11,2017-08-29 01:34:11,Gravity Falls,13991889,259972
search,2018-01-15 05:03:55,2018-01-15 05:03:55,Under the Dome,13991889,264492
/search/show/detail/show/268156,2017-07-11 22:12:43,2017-07-11 22:12:43,Sense8,13991889,268156
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,The 100,13991889,268592
search,2017-08-29 01:26:50,2017-08-29 01:26:50,Rick and Morty,13991889,275274
/search/show/detail/show/277165,2017-08-15 02:10:42,2017-08-15 02:10:42,Silicon Valley,13991889,277165
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,The Flash (2014),13991889,279121
search,2017-07-11 22:06:12,2017-07-11 22:06:12,iZombie,13991889,281470
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,Narcos,13991889,282670
recommendation,2017-11-05 22:18:01,2017-11-05 22:18:01,Star vs. the Forces of Evil,13991889,282994
see-season,2020-05-07 15:28:42,2020-05-07 15:28:42,Nanatsu no Taizai,13991889,286793
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,Mr. Robot,13991889,289590
search,2018-01-10 04:36:06,2018-01-10 04:36:06,Between,13991889,293194
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,Dragon Ball Super,13991889,295068
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,DC's Legends of Tomorrow,13991889,295760
see-episode,2020-06-25 00:16:22,2020-06-25 00:16:22,My Hero Academia,13991889,305074
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,Stranger Things,13991889,305288
/detail/show/305378/detail/show/,2017-09-01 22:58:36,2017-09-01 22:58:36,Love,13991889,305378
search,2017-12-11 02:16:27,2017-12-11 02:16:27,Van Helsing,13991889,308772
see-episode,2020-01-06 03:50:38,2020-01-06 03:50:38,Travelers (2016),13991889,314544
/profile_shows/detail/show/32045,2017-07-12 01:33:49,2017-07-12 01:33:49,Santa Clarita Diet,13991889,320450
search,2017-07-11 22:05:52,2017-07-11 22:05:52,Legion,13991889,320724
/profile_shows/detail/show/32106,2017-07-12 01:34:35,2017-07-12 01:34:35,The OA,13991889,321060
recommendation,2017-11-05 22:16:04,2017-11-05 22:16:04,Abstract: The Art of Design,13991889,322890
onboarding,2017-07-11 22:03:50,2017-07-11 22:03:50,13 Reasons Why,13991889,323168
/search/show/detail/show/323225,2017-07-11 22:12:33,2017-07-11 22:12:33,Cable Girls,13991889,323225
/recommendations/detail/show/327,2017-11-05 22:15:48,2017-11-05 22:15:48,Disjointed,13991889,327359
see-episode,2018-03-08 01:59:55,2018-03-08 01:59:55,Money Heist,13991889,327417
recommendation,2017-11-05 22:17:33,2017-11-05 22:17:33,Young Sheldon,13991889,328724
/to_see/discover,2018-02-07 23:58:06,2018-02-07 23:58:06,Atypical,13991889,330374
/to_see/discover,2018-02-07 23:58:09,2018-02-07 23:58:09,Big Mouth,13991889,331431
search,2018-02-15 18:32:41,2018-02-15 18:32:41,Altered Carbon,13991889,332331
/episodes_list/show/332353/seaso,2018-03-01 23:57:24,2018-03-01 23:57:24,Final Space,13991889,332353
search,2018-01-23 18:14:05,2018-01-23 18:14:05,Black Lightning,13991889,332525
search,2018-01-08 01:32:11,2018-01-08 01:32:11,The End of the F***ing World,13991889,336522
search,2018-02-15 18:32:47,2018-02-15 18:32:47,Re:Mind,13991889,336622
search,2018-02-17 06:15:49,2018-02-17 06:15:49,Everything Sucks!,13991889,341282
see-episode,2021-08-15 03:58:25,2021-08-15 03:58:25,Grand Blue Dreaming,13991889,343913
see-episode,2022-03-27 18:46:50,2022-03-27 18:46:50,Baki (2018),13991889,348742
see-season,2020-05-05 19:09:09,2020-05-05 19:09:09,,13991889,349078
see-season,2020-05-07 15:28:07,2020-05-07 15:28:07,The Seven Deadly Sins (Nanatsu no Taizai),13991889,354017
see-episode,2021-08-15 22:29:49,2021-08-15 22:29:49,Kaguya-sama: Love Is War,13991889,354198
see-episode,2023-12-04 04:08:06,2023-12-04 04:08:06,Monsters at Work,13991889,362280
see-episode,2021-10-24 06:17:12,2021-10-24 06:17:12,Inside Job,13991889,365098
see-episode,2020-12-10 05:38:54,2020-12-10 05:38:54,Inside Bill's Brain: Decoding Bill Gates,13991889,368452
see-episode,2023-03-31 04:14:11,2023-03-31 04:14:11,The Power,13991889,373451
see-episode,2021-08-14 23:42:52,2021-08-14 23:42:52,Redo of Healer,13991889,388575
see-episode,2023-05-02 00:58:59,2023-05-02 00:58:59,I Am Groot,13991889,393201
see-episode,2022-05-26 04:11:02,2022-05-26 04:11:02,Clark,13991889,394447
see-episode,2021-10-09 04:05:15,2021-10-09 04:05:15,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,13991889,398193
see-episode,2021-10-09 00:32:09,2021-10-09 00:32:09,Platinum End,13991889,399902
see-episode,2021-05-19 04:49:29,2021-05-19 04:49:29,Sex!fy,13991889,399966
see-episode,2021-08-02 04:52:38,2021-08-02 04:52:38,The Great Jahy Will Not Be Defeated!,13991889,401911
see-episode,2021-10-09 04:05:50,2021-10-09 04:05:50,Takt op.Destiny,13991889,405661
see-episode,2023-04-16 23:37:22,2023-04-16 23:37:22,My Love Story With Yamada-kun at Lv999,13991889,423413
see-episode,2023-05-27 21:29:25,2023-05-27 21:29:25,FUBAR,13991889,427281
