image,data,object_id,url,html_text,type,is_read,text,user_id,sound,title,object_type,badge,read,time,objects,badge_name,date
https://d1zfszn0v5ya99.cloudfront.net/user/5903338/profile_picture/5c44ce12a2e98_small.png,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""image"":""https://d1zfszn0v5ya99.cloudfront.net/user/5903338/profile_picture/5c44ce12a2e98_small.png"",""loc-key"":""tinimini te ha mencionado en un comentario sobre el episodio S03E01 de 13 Reasons Why"",""n"":""13 Reasons Why"",""notification_id"":""mentioned-in-comment"",""url"":""tvst://show/323168/episode/7306300/comment/18210159""}",0,tvst://show/323168/episode/7306300/comment/18210159,"<a href=""tvst://user/5903338/detail"" class='user'>tinimini</a> te ha mencionado en un comentario sobre el episodio <a href=""tvst://show/323168/episode/7306300/detail"" class='episode'>S03E01</a> de <a href=""tvst://show/323168/detail"" class='show'>13 Reasons Why</a>",mentioned-in-comment,true,tinimini te ha mencionado en un comentario sobre el episodio S03E01 de 13 Reasons Why,13991889,notif.caf,,none,1,true,1565022786463,,,
https://d1zfszn0v5ya99.cloudfront.net/user/5903338/profile_picture/5c44ce12a2e98_small.png,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""image"":""https://d1zfszn0v5ya99.cloudfront.net/user/5903338/profile_picture/5c44ce12a2e98_small.png"",""loc-key"":""tinimini te ha mencionado en un comentario sobre el episodio S03E01 de 13 Reasons Why"",""n"":""13 Reasons Why"",""notification_id"":""mentioned-in-comment"",""url"":""tvst://show/323168/episode/7306300/comment/18210159""}",0,tvst://show/323168/episode/7306300/comment/18210159,"<a href=""tvst://user/5903338/detail"" class='user'>tinimini</a> te ha mencionado en un comentario sobre el episodio <a href=""tvst://show/323168/episode/7306300/detail"" class='episode'>S03E01</a> de <a href=""tvst://show/323168/detail"" class='show'>13 Reasons Why</a>",mentioned-in-comment,true,tinimini te ha mencionado en un comentario sobre el episodio S03E01 de 13 Reasons Why,13991889,notif.caf,,none,1,true,1565022786829,,,
https://d1zfszn0v5ya99.cloudfront.net/user/8803464/profile_picture/5df2006a1d544_large.png,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""Your comment about episode S03 | E06 of Black Lightning reached 10 likes"",""notification_id"":""episode-comment-liked"",""url"":""tvst://show/332525/episode/7447100/comment/19186739"",""web_url"":""https://www.tvtime.com/show/332525/episode/7447100/comment/19186739""}",7447100,tvst://show/332525/episode/7447100/comment/19186739,Your comment about episode <a href='tvst://show/332525/episode/7447100/detail'>S03 | E06</a> of <a href='tvst://show/332525/detail'>Black Lightning</a> reached 10 likes,episode-comment-liked,true,Your comment about episode S03 | E06 of Black Lightning reached 10 likes,13991889,notif.caf,,episode,1,true,1576801972114,,,
https://d1qhxojdkstxv7.cloudfront.net/370471/62003449/new/fast-watcher-0.png,You have just unlocked the Steven Universe Future Quick Watcher badge!,,tvst://user/13991889/badges?badge_id=370471-quick-watcher-3-bd,,badge-unlocked,true,,13991889,,,,,true,1585565628967,"[{""id"":1,""type"":""user"",""name"":""TV Time"",""all_images"":{""1"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/370471\/62003449\/new\/fast-watcher-0-hd.png"",""2"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/370471\/62003449\/new\/fast-watcher-0-hd.png"",""square"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/370471\/62003449\/new\/fast-watcher-0-hd.png""}}]",Steven Universe Future Quick Watcher,2020-03-30T10:53:48+00:00
https://d1zfszn0v5ya99.cloudfront.net/user/5019566/profile_picture/5cb51934c890d_large.png,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""TvShowsQueen 🖤 commented the episode S04 | E06 of Money Heist"",""notification_id"":""episode-commented"",""thumbnail"":""https://media.tenor.co/images/5876d18d95e8d1fbd8c19f75879e76b9/tenor.gif"",""url"":""tvst://show/327417/episode/7658048/comment/20429852"",""web_url"":""https://www.tvtime.com/show/327417/episode/7658048/comment/20429852""}",7658048,tvst://show/327417/episode/7658048/comment/20429852,<a href='tvst://user/5019566/profile'>TvShowsQueen 🖤</a> commented the episode <a href='tvst://show/327417/episode/7658048/detail'>S04 | E06</a> of <a href='tvst://show/327417/detail'>Money Heist</a>,episode-commented,true,TvShowsQueen 🖤 commented the episode S04 | E06 of Money Heist,13991889,notif.caf,,episode,1,true,1586119692783,,,
https://d1qhxojdkstxv7.cloudfront.net/284131/1103444/new/marathon-0.png,You have just unlocked the The Seven Deadly Sins Marathoner badge!,,tvst://user/13991889/badges?badge_id=284131-marathoner-3-within-24-bd,,badge-unlocked,true,,13991889,,,,,true,1586412364339,"[{""id"":1,""type"":""user"",""name"":""TV Time"",""all_images"":{""1"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/284131\/1103444\/new\/marathon-0-hd.png"",""2"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/284131\/1103444\/new\/marathon-0-hd.png"",""square"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/284131\/1103444\/new\/marathon-0-hd.png""}}]",The Seven Deadly Sins Marathoner,2020-04-09T06:06:04+00:00
https://d1qhxojdkstxv7.cloudfront.net/284131/1103444/new/marathon-1.png,You have just unlocked the The Seven Deadly Sins Marathoner badge!,,tvst://user/13991889/badges?badge_id=284131-marathoner-5-within-24-bd,,badge-unlocked,true,,13991889,,,,,true,1586419083499,"[{""id"":1,""type"":""user"",""name"":""TV Time"",""all_images"":{""1"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/284131\/1103444\/new\/marathon-1-hd.png"",""2"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/284131\/1103444\/new\/marathon-1-hd.png"",""square"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/284131\/1103444\/new\/marathon-1-hd.png""}}]",The Seven Deadly Sins Marathoner,2020-04-09T07:58:03+00:00
https://d1qhxojdkstxv7.cloudfront.net/295760/1118306/new/fast-watcher-0.png,You have just unlocked the DC's Legends of Tomorrow Quick Watcher badge!,,tvst://user/13991889/badges?badge_id=295760-quick-watcher-3-bd,,badge-unlocked,true,,13991889,,,,,false,1588865435451,"[{""id"":1,""type"":""user"",""name"":""TV Time"",""all_images"":{""1"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/295760\/1118306\/new\/fast-watcher-0-hd.png"",""2"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/295760\/1118306\/new\/fast-watcher-0-hd.png"",""square"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/295760\/1118306\/new\/fast-watcher-0-hd.png""}}]",DC's Legends of Tomorrow Quick Watcher,2020-05-07T15:30:35+00:00
https://d1qhxojdkstxv7.cloudfront.net/281249/1024729/new/marathon-0.png,You have just unlocked the Tokyo Ghoul Marathoner badge!,,tvst://user/13991889/badges?badge_id=281249-marathoner-3-within-24-bd,,badge-unlocked,true,,13991889,,,,,false,1589425408473,"[{""id"":1,""type"":""user"",""name"":""TV Time"",""all_images"":{""1"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/281249\/1024729\/new\/marathon-0-hd.png"",""2"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/281249\/1024729\/new\/marathon-0-hd.png"",""square"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/281249\/1024729\/new\/marathon-0-hd.png""}}]",Tokyo Ghoul Marathoner,2020-05-14T03:03:28+00:00
https://d1qhxojdkstxv7.cloudfront.net/375892/62122188/new/marathon-0.png,You have just unlocked the Solar Opposites Marathoner badge!,,tvst://user/13991889/badges?badge_id=375892-marathoner-3-within-24-bd,,badge-unlocked,true,,13991889,,,,,false,1590097318487,"[{""id"":1,""type"":""user"",""name"":""TV Time"",""all_images"":{""1"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/375892\/62122188\/new\/marathon-0-hd.png"",""2"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/375892\/62122188\/new\/marathon-0-hd.png"",""square"":""https:\/\/d1qhxojdkstxv7.cloudfront.net\/375892\/62122188\/new\/marathon-0-hd.png""}}]",Solar Opposites Marathoner,2020-05-21T21:41:58+00:00
