user_id,series_name,season_number,episode_number,vote_key,episode_id
13991889,Game of Thrones,1,1,3254641-13991889-28,3254641
13991889,Game of Thrones,1,2,3436411-13991889-29,3436411
13991889,Game of Thrones,1,3,3436421-13991889-3,3436421
13991889,Game of Thrones,1,5,3436441-13991889-3,3436441
13991889,Breaking Bad,4,4,4123350-13991889-5,4123350
13991889,Breaking Bad,4,5,4123351-13991889-4,4123351
13991889,Breaking Bad,4,5,4123351-13991889-5,4123351
13991889,Better Call Saul,1,1,4663020-13991889-5,4663020
13991889,Elite,1,8,6671804-13991889-20,6671804
13991889,DC's Legends of Tomorrow,4,4,6790744-13991889-19,6790744
13991889,The Flash (2014),5,3,6794675-13991889-20,6794675
13991889,The Flash (2014),5,4,6794677-13991889-19,6794677
13991889,The Flash (2014),5,5,6794679-13991889-20,6794679
13991889,The Flash (2014),5,9,6881113-13991889-20,6881113
13991889,The Flash (2014),5,9,6881113-13991889-17,6881113
13991889,The Flash (2014),5,8,6885898-13991889-20,6885898
13991889,The Flash (2014),5,17,7085504-13991889-3,7085504
13991889,The Flash (2014),5,21,7145066-13991889-3,7145066
13991889,The Flash (2014),5,22,7159480-13991889-3,7159480
