created_at,updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,cpt
2019-04-05 20:55:54,2019-04-06 23:43:55,V (2009),1,1,13991889,660871,2
2019-04-05 20:56:22,2019-04-06 23:43:55,V (2009),1,2,13991889,1189601,2
2019-04-05 20:56:23,2019-04-06 23:43:55,V (2009),1,3,13991889,1238151,2
2019-04-05 20:56:27,2019-04-06 23:43:55,V (2009),1,4,13991889,1238161,2
2019-04-05 20:56:37,2019-04-06 23:43:55,V (2009),1,5,13991889,1395131,2
2019-04-05 20:56:46,2019-04-06 23:43:55,V (2009),1,6,13991889,1723921,2
2019-04-06 23:43:22,2019-04-06 23:43:55,V (2009),1,7,13991889,1884691,2
2019-04-06 23:43:55,2019-04-06 23:43:55,V (2009),1,8,13991889,2018451,1
2019-04-06 23:43:55,2019-04-06 23:43:55,V (2009),1,9,13991889,2046761,1
2019-04-06 23:43:55,2019-04-06 23:43:55,V (2009),1,10,13991889,2067521,1
2019-04-06 23:43:55,2019-04-06 23:43:55,V (2009),1,11,13991889,2067531,1
2019-04-06 23:43:55,2019-04-06 23:43:55,V (2009),1,12,13991889,2067541,1
2019-04-06 23:43:47,2019-04-06 23:43:47,V (2009),2,1,13991889,2447101,1
2019-04-06 23:43:45,2019-04-06 23:43:45,V (2009),2,2,13991889,3161511,1
2019-04-06 23:43:43,2019-04-06 23:43:43,V (2009),2,3,13991889,3161521,1
2019-04-06 23:43:37,2019-04-06 23:43:37,V (2009),2,4,13991889,3161531,1
2019-04-06 23:43:33,2019-04-06 23:43:33,V (2009),2,5,13991889,3427451,1
2019-04-06 23:43:35,2019-04-06 23:43:35,V (2009),2,6,13991889,3464891,1
2019-04-06 23:43:31,2019-04-06 23:43:31,V (2009),2,7,13991889,3473311,1
2019-04-06 23:43:30,2019-04-06 23:43:30,V (2009),2,8,13991889,3473321,1
2019-04-06 23:43:28,2019-04-06 23:43:28,V (2009),2,9,13991889,3514031,1
2019-04-06 23:43:26,2019-04-06 23:43:26,V (2009),2,10,13991889,3742151,1
2021-02-13 21:44:18,2022-10-28 22:58:53,Attack on Titan,1,1,13991889,4516067,2
2021-02-13 21:44:22,2022-10-28 22:58:55,Attack on Titan,1,2,13991889,4520243,2
2022-10-31 04:06:07,2022-10-31 04:06:07,Attack on Titan,1,3,13991889,4520244,1
2023-11-06 15:53:32,2023-11-06 15:53:32,The Flash (2014),1,1,13991889,4812524,1
2023-11-06 15:53:33,2023-11-06 15:53:33,The Flash (2014),1,2,13991889,4929322,1
2023-11-06 15:53:35,2023-11-06 15:53:35,The Flash (2014),1,3,13991889,4929325,1
2020-09-29 17:07:38,2020-09-29 17:07:38,The I-Land,1,1,13991889,7327799,1
2021-09-07 02:06:50,2021-09-07 02:06:50,The 100,7,2,13991889,7682640,1
2022-04-11 01:37:34,2022-04-11 01:37:34,JUJUTSU KAISEN,1,1,13991889,7752235,1
2022-04-11 01:37:36,2022-04-11 01:37:36,JUJUTSU KAISEN,1,2,13991889,7925272,1
2022-04-11 01:37:38,2022-04-11 01:37:38,JUJUTSU KAISEN,1,3,13991889,7925273,1
2021-08-06 02:49:23,2021-08-06 02:49:23,The Seven Deadly Sins,4,1,13991889,8042104,1
2021-06-12 23:07:01,2021-06-12 23:07:01,The Promised Neverland,2,10,13991889,8128384,1
2021-06-12 23:07:03,2021-06-12 23:07:03,The Promised Neverland,2,11,13991889,8128385,1
2023-08-03 02:14:24,2023-08-03 02:14:24,The Last of Us,1,1,13991889,8444132,1
2021-12-25 20:14:05,2021-12-25 20:14:05,Demon Slayer: Kimetsu no Yaiba,3,1,13991889,8729902,1
2021-12-25 20:14:07,2021-12-25 20:14:07,Demon Slayer: Kimetsu no Yaiba,3,2,13991889,8747432,1
2022-04-16 01:47:46,2022-04-16 01:47:46,Tomodachi Game,1,1,13991889,8813575,1
2023-04-27 17:31:22,2023-04-27 17:31:22,Ice Age: Scrat Tales,1,1,13991889,9021672,1
2023-08-03 02:14:08,2023-08-03 02:14:08,The Boss,1,1,13991889,9371037,1
2023-08-25 21:15:45,2023-08-25 21:15:45,The Last of Us,1,7,13991889,9435216,1
2023-06-20 17:46:34,2023-06-20 17:46:34,Heavenly Delusion,1,2,13991889,9679333,1
2023-06-12 02:43:09,2023-06-12 02:43:09,Dr. STONE,3,10,13991889,9687337,1
