updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,source,created_at
2017-08-06 16:39:50,Dragon Ball GT,1,4,13991889,306703,episode-detail,2017-08-06 16:39:50
2017-08-06 16:40:01,Dragon Ball GT,1,5,13991889,306704,season-detail,2017-08-06 16:40:01
2017-08-06 16:40:12,Dragon Ball GT,1,6,13991889,306705,season-detail,2017-08-06 16:40:12
2017-11-20 16:46:37,Dragon Ball GT,1,7,13991889,306706,episode-detail,2017-11-20 16:46:37
2017-11-20 16:48:46,Dragon Ball GT,1,8,13991889,306707,episode-detail,2017-11-20 16:48:46
2017-12-09 04:08:55,Dragon Ball GT,1,9,13991889,306708,to-watch,2017-12-09 04:08:55
2017-12-09 04:45:30,Dragon Ball GT,1,10,13991889,306709,to-watch,2017-12-09 04:45:30
2017-12-09 17:43:58,Dragon Ball GT,1,11,13991889,306710,to-watch,2017-12-09 17:43:58
2017-12-12 17:32:35,Dragon Ball GT,1,12,13991889,306711,to-watch,2017-12-12 17:32:35
2017-12-12 17:32:47,Dragon Ball GT,1,13,13991889,306712,to-watch,2017-12-12 17:32:47
2017-12-12 18:40:08,Dragon Ball GT,1,14,13991889,306713,to-watch,2017-12-12 18:40:08
2017-12-12 18:40:17,Dragon Ball GT,1,15,13991889,306714,to-watch,2017-12-12 18:40:17
2017-12-24 19:44:31,Dragon Ball GT,3,4,13991889,306744,to-watch,2017-12-24 19:44:31
2017-12-24 20:09:21,Dragon Ball GT,3,5,13991889,306745,to-watch,2017-12-24 20:09:21
2017-12-24 20:09:25,Dragon Ball GT,3,6,13991889,306746,to-watch,2017-12-24 20:09:25
2017-12-24 21:34:15,Dragon Ball GT,3,7,13991889,306747,to-watch,2017-12-24 21:34:15
2017-12-24 21:35:41,Dragon Ball GT,3,8,13991889,306748,to-watch,2017-12-24 21:35:41
2017-12-24 21:55:20,Dragon Ball GT,3,9,13991889,306749,episode-detail,2017-12-24 21:55:20
2017-12-26 04:48:57,Dragon Ball GT,3,10,13991889,306750,to-watch,2017-12-26 04:48:57
2017-12-26 05:38:49,Dragon Ball GT,3,11,13991889,306751,to-watch,2017-12-26 05:38:49
2017-12-27 06:31:27,Dragon Ball GT,3,12,13991889,306752,to-watch,2017-12-27 06:31:27
2017-12-27 20:19:25,Dragon Ball GT,3,13,13991889,306753,to-watch,2017-12-27 20:19:25
2017-12-27 20:19:30,Dragon Ball GT,3,14,13991889,306754,to-watch,2017-12-27 20:19:30
2017-12-27 20:19:39,Dragon Ball GT,3,15,13991889,306755,to-watch,2017-12-27 20:19:39
2017-12-27 20:19:48,Dragon Ball GT,3,16,13991889,306756,to-watch,2017-12-27 20:19:48
2017-12-28 20:00:31,Dragon Ball GT,3,17,13991889,306757,to-watch,2017-12-28 20:00:31
2017-12-28 20:12:23,Dragon Ball GT,3,18,13991889,306758,to-watch,2017-12-28 20:12:23
2017-12-28 20:51:01,Dragon Ball GT,3,19,13991889,306759,to-watch,2017-12-28 20:51:01
2017-12-28 21:20:56,Dragon Ball GT,3,20,13991889,306760,to-watch,2017-12-28 21:20:56
2017-12-29 18:31:16,Dragon Ball GT,3,21,13991889,306761,to-watch,2017-12-29 18:31:16
2017-12-29 18:47:33,Dragon Ball GT,3,22,13991889,306762,to-watch,2017-12-29 18:47:33
2017-12-29 19:25:06,Dragon Ball GT,3,23,13991889,306763,to-watch,2017-12-29 19:25:06
2017-12-30 22:37:50,Dragon Ball GT,3,24,13991889,306764,to-watch,2017-12-30 22:37:50
2017-12-11 02:16:10,V (2009),1,12,13991889,2067541,episode-detail,2017-12-11 02:16:10
2017-08-12 16:39:14,Black Mirror,1,1,13991889,4201395,public-api,2017-08-12 16:39:14
2017-08-12 16:39:14,Black Mirror,1,2,13991889,4201396,public-api,2017-08-12 16:39:14
2017-08-12 16:39:14,Black Mirror,1,3,13991889,4201397,public-api,2017-08-12 16:39:14
2017-08-12 16:39:14,Black Mirror,2,1,13991889,4418485,public-api,2017-08-12 16:39:14
2017-08-12 16:39:14,Black Mirror,2,3,13991889,4418486,public-api,2017-08-12 16:39:14
2017-08-12 16:39:14,Black Mirror,2,2,13991889,4418487,public-api,2017-08-12 16:39:14
2018-01-15 05:04:10,Under the Dome,1,1,13991889,4445772,season-detail,2018-01-15 05:04:10
2018-01-16 05:13:06,Under the Dome,1,2,13991889,4558739,to-watch,2018-01-16 05:13:06
