episode_id,show_character_id,created_at,episode_number,user_id,updated_at,fb_action_id,tv_show_name,episode_season_number
155935,65935129,2019-10-23 15:47:21,1,13991889,2019-10-23 15:47:21,,Avatar: The Last Airbender,1
155936,68771912,2019-10-23 15:47:27,2,13991889,2019-10-23 15:47:27,,Avatar: The Last Airbender,1
155937,65935131,2019-10-23 15:47:34,3,13991889,2019-10-23 15:47:34,,Avatar: The Last Airbender,1
155938,65935133,2019-10-23 15:47:43,4,13991889,2019-10-23 15:47:43,,Avatar: The Last Airbender,1
155947,68771912,2019-11-02 07:41:52,14,13991889,2019-11-02 07:42:00,,Avatar: The Last Airbender,1
295483,68771912,2019-11-08 18:54:27,17,13991889,2019-11-08 18:54:27,,Avatar: The Last Airbender,1
296054,63544726,2019-10-30 15:41:32,1,13991889,2019-10-30 15:41:32,,Drawn Together,1
300635,65935129,2019-11-06 21:23:12,15,13991889,2019-11-06 21:23:12,,Avatar: The Last Airbender,1
301700,68771912,2019-11-06 21:49:09,16,13991889,2019-11-06 21:49:11,,Avatar: The Last Airbender,1
301701,65935131,2019-11-08 20:43:29,18,13991889,2019-11-08 20:43:29,,Avatar: The Last Airbender,1
301702,68771912,2019-11-08 20:43:39,19,13991889,2019-11-08 20:43:39,,Avatar: The Last Airbender,1
301703,68771912,2019-11-08 20:43:49,20,13991889,2019-11-08 20:43:49,,Avatar: The Last Airbender,1
2062411,64178879,2021-10-22 00:55:42,10,13991889,2021-10-22 00:55:42,,Breaking Bad,3
3254641,63976215,2019-05-24 12:14:44,1,13991889,2019-05-24 12:14:44,,Game of Thrones,1
3436411,63976223,2019-05-24 12:14:56,2,13991889,2019-05-24 12:14:56,,Game of Thrones,1
3436421,63976215,2019-05-25 22:39:30,3,13991889,2019-05-25 22:39:34,,Game of Thrones,1
3436441,63976056,2019-05-26 16:08:13,5,13991889,2019-05-26 16:08:13,,Game of Thrones,1
4123350,64178863,2019-02-25 19:12:53,4,13991889,2019-02-25 19:12:56,,Breaking Bad,4
4123351,64178899,2019-02-25 19:12:37,5,13991889,2019-02-25 19:12:37,,Breaking Bad,4
4710226,64977630,2018-07-31 18:53:39,5,13991889,2018-07-31 18:53:42,,Steven Universe,1
4710227,64977630,2018-07-31 17:22:51,6,13991889,2018-07-31 17:22:51,,Steven Universe,1
4711142,65120487,2017-08-29 01:32:59,1,13991889,2017-08-29 01:33:00,,Rick and Morty,1
4727778,64977649,2018-07-31 17:33:53,7,13991889,2018-07-31 17:33:53,,Steven Universe,1
4753096,64977630,2018-07-31 18:53:24,8,13991889,2018-07-31 18:53:24,,Steven Universe,1
4753097,64977636,2018-08-02 01:00:40,9,13991889,2018-08-02 01:00:40,,Steven Universe,1
4753098,64977630,2018-08-02 01:00:52,10,13991889,2018-08-02 01:00:52,,Steven Universe,1
4796466,64977633,2018-08-02 21:19:49,11,13991889,2018-08-02 21:19:49,,Steven Universe,1
4796468,64977681,2018-08-02 21:19:55,12,13991889,2018-08-02 21:19:55,,Steven Universe,1
4811303,64977630,2018-08-03 19:18:23,13,13991889,2018-08-03 19:18:23,,Steven Universe,1
4811304,64977665,2018-08-03 19:18:44,14,13991889,2018-08-03 19:18:44,,Steven Universe,1
4811305,64977630,2018-08-03 19:19:23,15,13991889,2018-08-03 19:19:28,,Steven Universe,1
4852045,64977649,2018-08-05 04:41:20,17,13991889,2018-08-05 04:41:20,,Steven Universe,1
4852046,64977630,2018-08-05 04:42:25,18,13991889,2018-08-05 04:42:25,,Steven Universe,1
4852047,64977665,2018-08-12 02:11:50,19,13991889,2018-08-12 02:11:50,,Steven Universe,1
4881757,64977638,2018-08-12 02:11:43,20,13991889,2018-08-12 02:11:43,,Steven Universe,1
4890897,64977630,2018-08-12 02:11:34,21,13991889,2018-08-12 02:11:34,,Steven Universe,1
4921347,422693,2020-07-27 06:51:00,15,13991889,2020-07-27 06:51:00,,Akame ga Kill!,1
4921348,422696,2020-07-27 06:50:42,16,13991889,2020-07-27 06:50:47,,Akame ga Kill!,1
4921349,422693,2020-07-27 06:50:32,17,13991889,2020-07-27 06:50:32,,Akame ga Kill!,1
4942078,64833033,2020-02-26 06:14:58,1,13991889,2020-02-26 06:14:58,,The Seven Deadly Sins,1
4976674,64977630,2018-08-12 02:11:18,22,13991889,2018-08-12 02:11:18,,Steven Universe,1
4990266,64977630,2018-08-12 02:11:09,23,13991889,2018-08-12 02:11:09,,Steven Universe,1
4990267,64977649,2018-08-12 02:11:01,24,13991889,2018-08-12 02:11:01,,Steven Universe,1
4990268,64977630,2018-08-12 02:10:55,25,13991889,2018-08-12 02:10:55,,Steven Universe,1
4990269,64977661,2018-08-12 02:10:50,26,13991889,2018-08-12 02:10:50,,Steven Universe,1
5002364,64977630,2018-08-12 02:56:13,27,13991889,2018-08-12 02:56:13,,Steven Universe,1
5002365,64977638,2018-08-12 02:40:55,28,13991889,2018-08-12 02:40:55,,Steven Universe,1
5012562,64977630,2018-08-12 02:26:04,29,13991889,2018-08-12 02:26:04,,Steven Universe,1
5012563,64977646,2018-08-12 02:10:33,30,13991889,2018-08-12 02:10:36,,Steven Universe,1
5012564,64977653,2018-08-13 22:58:57,31,13991889,2018-08-13 22:58:57,,Steven Universe,1
5032896,64977680,2018-08-19 01:16:51,32,13991889,2018-08-19 01:16:51,,Steven Universe,1
5040748,64977633,2018-08-19 01:17:09,33,13991889,2018-08-19 01:17:14,,Steven Universe,1
5040749,64977630,2018-08-19 01:17:24,34,13991889,2018-08-19 01:17:29,,Steven Universe,1
5055362,64977665,2018-08-19 01:17:38,35,13991889,2018-08-19 01:17:38,,Steven Universe,1
5078573,355222,2018-08-19 02:54:35,37,13991889,2018-08-19 02:54:35,,Steven Universe,1
5078574,64977630,2018-08-19 03:15:37,38,13991889,2018-08-19 03:15:37,,Steven Universe,1
5078575,64977633,2018-08-19 03:31:20,39,13991889,2018-08-19 03:31:20,,Steven Universe,1
5121577,64977636,2018-08-19 04:13:44,40,13991889,2018-08-19 04:13:44,,Steven Universe,1
5121578,64977653,2018-08-19 04:57:09,41,13991889,2018-08-19 04:57:09,,Steven Universe,1
5121579,64977630,2018-08-19 05:08:16,42,13991889,2018-08-19 05:08:16,,Steven Universe,1
5121580,64977636,2018-08-19 05:20:53,43,13991889,2018-08-19 05:20:53,,Steven Universe,1
5141188,64977630,2018-08-19 05:32:25,44,13991889,2018-08-19 05:32:25,,Steven Universe,1
5146500,64977650,2018-08-20 06:35:15,45,13991889,2018-08-20 06:35:15,,Steven Universe,1
5152476,64977641,2018-08-23 02:04:05,46,13991889,2018-08-23 02:04:08,,Steven Universe,1
5152477,64977630,2018-08-24 20:05:46,47,13991889,2018-08-24 20:05:51,,Steven Universe,1
5152478,64977630,2018-08-24 20:33:33,48,13991889,2018-08-24 20:33:33,,Steven Universe,1
5152479,64977633,2018-08-24 20:45:25,49,13991889,2018-08-24 20:45:25,,Steven Universe,1
5158287,64977649,2018-08-24 22:06:13,1,13991889,2018-08-24 22:06:13,,Steven Universe,2
5158298,64977641,2018-09-04 19:30:38,5,13991889,2018-09-04 19:30:38,,Steven Universe,2
5173456,64977630,2018-09-04 19:30:50,6,13991889,2018-09-04 19:30:50,,Steven Universe,2
5211997,64977661,2018-09-08 23:20:56,13,13991889,2018-09-08 23:20:58,,Steven Universe,2
5211998,64977665,2018-09-08 23:09:01,12,13991889,2018-09-08 23:09:04,,Steven Universe,2
5219321,335192,2017-07-24 08:32:26,3,13991889,2017-07-24 08:32:36,,Sense8,1
5228262,64977108,2017-08-15 05:54:02,7,13991889,2017-08-15 05:54:02,,Sense8,1
5228265,64977075,2017-08-19 17:36:36,10,13991889,2017-08-19 17:36:36,,Sense8,1
5228266,64977153,2017-08-19 17:36:19,11,13991889,2017-08-19 17:36:19,,Sense8,1
5250644,64977664,2018-09-08 23:54:13,15,13991889,2018-09-08 23:54:13,,Steven Universe,2
5276622,64977636,2018-09-11 14:09:37,16,13991889,2018-09-11 14:09:39,,Steven Universe,2
5276631,64977659,2018-09-20 16:00:20,18,13991889,2018-09-20 16:00:20,,Steven Universe,2
5276632,64977649,2018-09-20 18:33:34,19,13991889,2018-09-20 18:33:37,,Steven Universe,2
5276633,64977630,2018-09-20 18:50:33,21,13991889,2018-09-20 18:50:33,,Steven Universe,2
5276634,64977659,2018-09-20 19:02:13,22,13991889,2018-09-20 19:02:13,,Steven Universe,2
5295278,64977659,2018-09-20 19:26:58,23,13991889,2018-09-20 19:26:58,,Steven Universe,2
5295279,64977646,2018-09-20 18:33:21,20,13991889,2018-09-20 18:33:21,,Steven Universe,2
5357869,64977630,2018-09-04 19:30:03,4,13991889,2018-09-04 19:30:03,,Steven Universe,2
5358120,64977636,2018-09-08 23:41:29,14,13991889,2018-09-08 23:41:29,,Steven Universe,2
5359944,64977630,2018-08-24 22:18:06,2,13991889,2018-08-24 22:18:06,,Steven Universe,2
5359992,64977630,2018-09-04 19:29:54,3,13991889,2018-09-04 19:29:54,,Steven Universe,2
5360059,64977633,2018-09-04 19:43:14,7,13991889,2018-09-04 19:43:14,,Steven Universe,2
5360066,64977636,2018-09-04 19:57:06,8,13991889,2018-09-04 19:57:06,,Steven Universe,2
5360125,64977667,2018-09-04 20:23:37,10,13991889,2018-09-04 20:23:37,,Steven Universe,2
5360137,64977633,2018-09-08 22:53:16,11,13991889,2018-09-08 22:53:16,,Steven Universe,2
5363792,64977633,2018-09-20 19:59:05,25,13991889,2018-09-20 19:59:05,,Steven Universe,2
5363793,64977630,2018-09-20 20:35:56,26,13991889,2018-09-20 20:35:56,,Steven Universe,2
5545438,65071140,2017-12-11 02:17:31,1,13991889,2017-12-11 02:17:31,,Van Helsing,1
5560087,63393738,2019-07-06 08:15:24,19,13991889,2019-07-06 08:15:24,,iZombie,2
5576362,64977630,2018-09-24 19:01:04,1,13991889,2018-09-24 19:01:04,,Steven Universe,3
5576363,64977630,2018-09-24 19:01:29,2,13991889,2018-09-24 19:01:29,,Steven Universe,3
5576364,64977659,2018-09-24 19:14:48,4,13991889,2018-09-24 19:14:51,,Steven Universe,3
5576365,64977661,2018-09-24 19:01:22,3,13991889,2018-09-24 19:01:22,,Steven Universe,3
5576366,64977663,2018-09-25 04:44:55,5,13991889,2018-09-25 04:44:55,,Steven Universe,3
5682080,63448778,2020-01-06 03:50:48,1,13991889,2020-01-06 03:50:48,,Travelers (2016),1
5689239,63393738,2019-07-06 08:17:42,1,13991889,2019-07-06 08:17:42,,iZombie,3
5700172,64073347,2018-07-22 06:03:15,1,13991889,2018-07-22 06:03:21,,Channel Zero,1
5700822,63393738,2019-07-06 08:17:52,2,13991889,2019-07-06 08:18:00,,iZombie,3
5763872,63393738,2019-07-06 08:15:11,3,13991889,2019-07-06 08:15:11,,iZombie,3
5763873,63393738,2019-07-06 08:13:57,4,13991889,2019-07-06 08:13:57,,iZombie,3
5763874,63393738,2019-07-06 08:13:15,5,13991889,2019-07-06 08:13:17,,iZombie,3
5787419,65163138,2018-07-12 00:58:29,3,13991889,2018-07-12 00:58:29,,3%,1
5880351,398214,2018-05-17 00:44:52,27,13991889,2018-05-17 00:44:52,,Dragon Ball Super,4
5880381,398214,2018-05-17 00:44:48,28,13991889,2018-05-17 00:44:48,,Dragon Ball Super,4
5880397,398201,2018-05-17 00:44:44,29,13991889,2018-05-17 00:44:44,,Dragon Ball Super,4
5880400,398201,2018-05-17 00:44:30,30,13991889,2018-05-17 00:44:30,,Dragon Ball Super,4
5940804,64066589,2018-08-27 21:03:58,7,13991889,2018-08-27 21:03:58,,The 100,4
5940805,64066577,2018-09-08 14:50:34,13,13991889,2018-09-08 14:50:34,,The 100,4
5941009,64066623,2018-08-31 20:12:24,8,13991889,2018-08-31 20:12:24,,The 100,4
5941011,64066589,2018-09-08 14:50:58,11,13991889,2018-09-08 14:50:58,,The 100,4
5941030,64066577,2018-09-08 14:51:08,9,13991889,2018-09-08 14:51:08,,The 100,4
5943802,64066583,2018-09-08 14:50:43,12,13991889,2018-09-08 14:50:45,,The 100,4
5947380,64066583,2018-09-08 14:51:13,10,13991889,2018-09-08 14:51:13,,The 100,4
6213689,63930742,2018-07-29 19:41:51,1,13991889,2018-07-29 19:41:51,,Krypton,1
6218771,64878586,2018-07-27 19:38:20,1,13991889,2018-07-29 01:02:12,,Final Space,1
6232850,63891240,2017-11-05 05:52:05,4,13991889,2017-11-05 05:52:05,,DC's Legends of Tomorrow,3
