similar_show_id,created_at,updated_at,reason,tv_show_name,user_id,tv_show_id
321060,2017-07-12 19:15:44,2017-07-12 19:15:44,,Black Mirror,13991889,253463
268156,2017-10-16 15:24:04,2017-10-16 15:24:04,,Utopia,13991889,264991
73871,2017-08-29 01:34:03,2017-08-29 01:34:03,,Rick and Morty,13991889,275274
152831,2017-08-29 01:34:03,2017-08-29 01:34:03,,Rick and Morty,13991889,275274
259972,2017-08-29 01:34:05,2017-08-29 01:34:05,,Rick and Morty,13991889,275274
282254,2017-12-08 16:48:33,2017-12-08 16:48:33,,Rick and Morty,13991889,275274
253463,2017-07-21 03:40:28,2017-07-21 03:40:28,,Mr. Robot,13991889,289590
277165,2017-07-21 03:40:24,2017-07-21 03:40:24,,Mr. Robot,13991889,289590
76666,2018-07-13 00:14:20,2018-07-13 00:14:20,,Dragon Ball Super,13991889,295068
79275,2018-07-13 00:14:17,2018-07-13 00:14:17,,Dragon Ball Super,13991889,295068
81472,2018-07-13 00:14:18,2018-07-13 00:14:18,,Dragon Ball Super,13991889,295068
279121,2018-01-23 18:14:20,2018-01-23 18:14:20,,Black Lightning,13991889,332525
295760,2018-01-23 18:14:19,2018-01-23 18:14:19,,Black Lightning,13991889,332525
71663,2018-08-17 19:48:26,2018-08-17 19:48:26,,Disenchantment,13991889,340234
73871,2018-08-17 19:48:25,2018-08-17 19:48:25,,Disenchantment,13991889,340234
