updated_at,series_id,user_id,type,series_name,watch_count,created_at,uuid,type-uuid-n,watches,rewatch_count,follow_date_range_key,entity_type,movie_name,release_date_range_key,release_date,alpha_range_key,runtime,season_number,series_uuid,episode_id,watch_date,episode_number,watched_episode_range_key,total_series_runtime,total_movies_runtime,watch_date_range_key,unitarian,country
2021-11-01 06:22:02,348545,13991889,count-watch-episode-series,Demon Slayer: Kimetsu no Yaiba,26,2021-04-07 03:46:30,015f238e-e893-4c3a-973a-674eb2a1df87,count-watch-episode-series-015f238e-e893-4c3a-973a-674eb2a1df87,,,,,,,,,,,,,,,,,,,,
2021-04-06 00:49:13,355774,13991889,count-watch-episode-series,Dr. STONE,7,2021-02-08 22:12:56,14f8bad3-d1da-4e83-b1e7-9cd5bb66a51e,count-watch-episode-series-14f8bad3-d1da-4e83-b1e7-9cd5bb66a51e,,,,,,,,,,,,,,,,,,,,
2020-12-18 14:09:31,251085,13991889,count-watch-episode-series,The Legend of Korra,6,2020-12-18 14:08:53,16ff2b5f-a919-4223-85ca-81822f00f699,count-watch-episode-series-16ff2b5f-a919-4223-85ca-81822f00f699,,,,,,,,,,,,,,,,,,,,
2021-03-23 01:11:08,348922,13991889,count-watch-episode-series,Paradise PD,1,2021-03-23 01:11:08,1b5da6b3-cd03-4986-a754-c3a097d61ac8,count-watch-episode-series-1b5da6b3-cd03-4986-a754-c3a097d61ac8,,,,,,,,,,,,,,,,,,,,
2021-09-24 14:55:53,330374,13991889,count-watch-episode-series,Atypical,10,2021-09-17 00:07:05,1b942384-17aa-4ad6-b3f2-1e0fdece066f,count-watch-episode-series-1b942384-17aa-4ad6-b3f2-1e0fdece066f,,,,,,,,,,,,,,,,,,,,
2020-11-05 23:31:02,257655,13991889,count-watch-episode-series,Arrow,1,2020-11-05 23:31:02,200a6f37-0ced-46e8-bf42-3db320cc3d04,count-watch-episode-series-200a6f37-0ced-46e8-bf42-3db320cc3d04,,,,,,,,,,,,,,,,,,,,
2021-10-24 21:22:27,356317,13991889,count-watch-episode-series,Sex Education,8,2021-09-20 00:00:53,2ca857f5-aa12-4c60-8f01-3615da41dc09,count-watch-episode-series-2ca857f5-aa12-4c60-8f01-3615da41dc09,,,,,,,,,,,,,,,,,,,,
2021-10-16 04:43:47,398193,13991889,count-watch-episode-series,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,2,2021-10-09 04:05:15,2dd409ed-5907-4452-b39b-56e1ed70c376,count-watch-episode-series-2dd409ed-5907-4452-b39b-56e1ed70c376,,,,,,,,,,,,,,,,,,,,
2021-02-10 23:40:46,328690,13991889,count-watch-episode-series,The Alienist,7,2020-12-18 14:08:05,3264a58a-3b8e-4b12-a67b-75ff00ef5c76,count-watch-episode-series-3264a58a-3b8e-4b12-a67b-75ff00ef5c76,,,,,,,,,,,,,,,,,,,,
2021-08-21 04:50:34,393810,13991889,count-watch-episode-series,Record of Ragnarok,12,2021-07-24 00:15:02,37358331-3dd5-4503-afb3-d63ddf158cd4,count-watch-episode-series-37358331-3dd5-4503-afb3-d63ddf158cd4,,,,,,,,,,,,,,,,,,,,
2021-02-22 01:45:51,267440,13991889,count-watch-episode-series,Attack on Titan,2,2021-02-13 21:40:06,3adddd30-319a-4e47-bb54-fa22d92aa5e1,count-watch-episode-series-3adddd30-319a-4e47-bb54-fa22d92aa5e1,,,,,,,,,,,,,,,,,,,,
2021-11-07 02:58:55,401911,13991889,count-watch-episode-series,The Great Jahy Will Not Be Defeated!,13,2021-08-02 04:52:38,3cf6fad6-6d0a-4588-a30b-79f3a4f55be6,count-watch-episode-series-3cf6fad6-6d0a-4588-a30b-79f3a4f55be6,,,,,,,,,,,,,,,,,,,,
2021-09-11 16:55:41,343913,13991889,count-watch-episode-series,Grand Blue Dreaming,12,2021-08-15 03:58:25,3f34594c-8d53-40b8-af9e-1a444cb89900,count-watch-episode-series-3f34594c-8d53-40b8-af9e-1a444cb89900,,,,,,,,,,,,,,,,,,,,
2020-12-26 05:56:49,78831,13991889,count-watch-episode-series,Drawn Together,12,2020-12-11 03:23:06,40652d64-ab6f-4708-a334-f9195176d942,count-watch-episode-series-40652d64-ab6f-4708-a334-f9195176d942,,,,,,,,,,,,,,,,,,,,
2021-03-30 04:36:32,377543,13991889,count-watch-episode-series,JUJUTSU KAISEN,18,2020-12-12 06:12:34,629493df-1990-437e-a64f-3adf1f2782c1,count-watch-episode-series-629493df-1990-437e-a64f-3adf1f2782c1,,,,,,,,,,,,,,,,,,,,
2021-10-04 04:58:44,284131,13991889,count-watch-episode-series,The Seven Deadly Sins,10,2021-02-10 02:31:54,6436b274-ca56-4d2f-8c68-2956bc0fcab6,count-watch-episode-series-6436b274-ca56-4d2f-8c68-2956bc0fcab6,,,,,,,,,,,,,,,,,,,,
2021-09-21 04:10:37,364007,13991889,count-watch-episode-series,Primal,1,2021-09-21 04:10:37,7063ddb0-ea89-4bc2-ba9e-1abd6cdc48bb,count-watch-episode-series-7063ddb0-ea89-4bc2-ba9e-1abd6cdc48bb,,,,,,,,,,,,,,,,,,,,
2021-07-22 04:41:15,328724,13991889,count-watch-episode-series,Young Sheldon,4,2020-12-28 15:49:30,7675925d-5d4d-4580-856a-2a9bf2441a46,count-watch-episode-series-7675925d-5d4d-4580-856a-2a9bf2441a46,,,,,,,,,,,,,,,,,,,,
2021-10-09 17:41:15,329822,13991889,count-watch-episode-series,Classroom of the Elite,1,2021-10-09 17:41:15,77533fe4-ba38-4e6f-a064-8446a27d57cc,count-watch-episode-series-77533fe4-ba38-4e6f-a064-8446a27d57cc,,,,,,,,,,,,,,,,,,,,
2021-06-25 23:59:52,327572,13991889,count-watch-episode-series,Kakegurui,24,2021-02-08 22:16:41,7d5f3a6e-734d-4b59-ab86-60f0e293ab5c,count-watch-episode-series-7d5f3a6e-734d-4b59-ab86-60f0e293ab5c,,,,,,,,,,,,,,,,,,,,
