updated_at,tv_show_name,tv_show_id,user_id,emotion_id,count,created_at
2019-11-08 21:04:01,Avatar: The Last Airbender,74852,13991889,3,15,2019-10-26 12:47:57
2019-10-30 15:42:27,Drawn Together,78831,13991889,3,2,2019-10-30 15:42:08
2019-02-25 19:12:51,Breaking Bad,81189,13991889,1,1,2019-02-25 19:12:27
2021-10-22 00:55:38,Breaking Bad,81189,13991889,3,1,2021-10-22 00:55:38
2019-02-25 19:12:27,Breaking Bad,81189,13991889,8,1,2019-02-25 19:12:27
2019-05-24 12:16:49,Game of Thrones,121361,13991889,1,1,2019-05-24 12:16:49
2019-05-26 16:13:52,Game of Thrones,121361,13991889,3,2,2019-05-25 22:43:04
2019-05-24 12:16:30,Game of Thrones,121361,13991889,8,1,2019-05-24 12:16:30
2023-11-03 02:35:36,Suits,247808,13991889,3,1,2023-11-03 02:35:36
2018-08-14 21:48:19,3%,250749,13991889,1,4,2018-08-07 05:34:37
2018-08-12 05:14:04,3%,250749,13991889,2,0,2018-08-12 05:14:04
2018-08-15 01:40:13,3%,250749,13991889,3,7,2018-07-12 00:58:31
2023-07-09 00:59:35,Black Mirror,253463,13991889,3,6,2019-06-09 18:51:41
2017-08-19 17:36:25,Sense8,268156,13991889,2,1,2017-07-24 08:29:01
2018-06-10 05:29:43,Sense8,268156,13991889,3,2,2017-07-24 08:29:00
2017-08-19 17:36:32,Sense8,268156,13991889,4,2,2017-07-24 08:28:55
2018-09-07 22:50:57,The 100,268592,13991889,1,2,2018-09-07 20:51:10
2019-06-24 20:19:28,The 100,268592,13991889,3,18,2018-08-31 20:12:16
2018-08-27 21:03:57,The 100,268592,13991889,4,1,2018-08-27 21:03:57
2018-09-24 19:14:46,Steven Universe,270701,13991889,1,20,2018-08-03 19:18:55
2018-09-25 04:44:53,Steven Universe,270701,13991889,2,13,2018-07-31 17:33:56
2018-09-24 19:01:28,Steven Universe,270701,13991889,3,35,2018-07-31 17:22:48
2018-08-24 22:06:12,Steven Universe,270701,13991889,4,4,2018-08-19 01:17:35
