time,user_id,quiz_question_id,quiz_question_answer_id,score,created_at,updated_at
2.08,13991889,811,3237,375,2017-09-14 00:18:27,2017-09-14 00:18:27
1.92,13991889,812,3243,0,2017-09-14 00:18:31,2017-09-14 00:18:31
7.96,13991889,813,3245,255,2017-09-14 00:18:41,2017-09-14 00:18:41
3.29,13991889,814,3251,0,2017-09-14 00:18:47,2017-09-14 00:18:47
4.70,13991889,815,3253,312,2017-09-14 00:18:54,2017-09-14 00:18:54
6,13991889,816,3260,0,2017-09-14 00:19:02,2017-09-14 00:19:02
4.04,13991889,817,3262,0,2017-09-14 00:19:08,2017-09-14 00:19:08
8.99,13991889,818,3265,240,2017-09-14 00:19:19,2017-09-14 00:19:19
4.74,13991889,819,3271,0,2017-09-14 00:19:26,2017-09-14 00:19:26
3.22,13991889,820,3275,0,2017-09-14 00:19:31,2017-09-14 00:19:31
2.11,13991889,1071,4280,374,2017-09-14 00:17:02,2017-09-14 00:17:02
4.12,13991889,1072,4283,324,2017-09-14 00:17:08,2017-09-14 00:17:08
2.74,13991889,1073,4286,356,2017-09-14 00:17:13,2017-09-14 00:17:13
3.92,13991889,1074,4289,328,2017-09-14 00:17:19,2017-09-14 00:17:19
4.65,13991889,1075,4295,313,2017-09-14 00:17:26,2017-09-14 00:17:26
4.49,13991889,1076,4300,316,2017-09-14 00:17:32,2017-09-14 00:17:32
4.49,13991889,1077,4302,316,2017-09-14 00:17:39,2017-09-14 00:17:39
3.57,13991889,1078,4308,336,2017-09-14 00:17:45,2017-09-14 00:17:45
4.45,13991889,1079,4310,317,2017-09-14 00:17:51,2017-09-14 00:17:51
2.10,13991889,1080,4315,374,2017-09-14 00:17:55,2017-09-14 00:17:55
5.01,13991889,1261,5039,0,2017-09-14 00:19:55,2017-09-14 00:19:55
5.35,13991889,1262,5043,299,2017-09-14 00:20:02,2017-09-14 00:20:02
6.91,13991889,1263,5046,0,2017-09-14 00:20:11,2017-09-14 00:20:11
7.89,13991889,1264,5049,256,2017-09-14 00:20:21,2017-09-14 00:20:21
7.24,13991889,1265,5055,0,2017-09-14 00:20:30,2017-09-14 00:20:30
3.88,13991889,1266,5058,329,2017-09-14 00:20:37,2017-09-14 00:20:37
9.43,13991889,1267,5063,0,2017-09-14 00:20:48,2017-09-14 00:20:48
7.26,13991889,1268,5067,266,2017-09-14 00:20:57,2017-09-14 00:20:57
5.09,13991889,1269,5069,304,2017-09-14 00:21:05,2017-09-14 00:21:05
6.39,13991889,1270,5073,0,2017-09-14 00:21:13,2017-09-14 00:21:13
5.72,13991889,1331,5319,0,2019-07-06 08:15:51,2019-07-06 08:15:51
2.40,13991889,1332,5324,365,2019-07-06 08:15:59,2019-07-06 08:15:59
2.35,13991889,1333,5325,0,2019-07-06 08:16:07,2019-07-06 08:16:07
4.05,13991889,1334,5332,0,2019-07-06 08:16:18,2019-07-06 08:16:18
1.80,13991889,1335,5336,383,2019-07-06 08:16:28,2019-07-06 08:16:28
7.32,13991889,1336,5338,0,2019-07-06 08:16:43,2019-07-06 08:16:43
3,13991889,1337,5342,349,2019-07-06 08:16:52,2019-07-06 08:16:52
3.38,13991889,1338,5346,0,2019-07-06 08:17:04,2019-07-06 08:17:04
3.68,13991889,1339,5351,0,2019-07-06 08:17:13,2019-07-06 08:17:13
3.60,13991889,1561,6240,0,2018-04-13 02:00:08,2018-04-13 02:00:08
3.18,13991889,1562,6241,345,2018-04-13 02:00:19,2018-04-13 02:00:19
3.06,13991889,1563,6247,0,2018-04-13 02:00:27,2018-04-13 02:00:27
3.06,13991889,1564,6251,0,2018-04-13 02:00:36,2018-04-13 02:00:36
4.40,13991889,1565,6253,318,2018-04-13 02:00:46,2018-04-13 02:00:46
4.32,13991889,1566,6258,0,2018-04-13 02:00:57,2018-04-13 02:00:57
1.63,13991889,1567,6262,389,2018-04-13 02:01:05,2018-04-13 02:01:05
1.09,13991889,1568,6265,409,2018-04-13 02:01:12,2018-04-13 02:01:12
7.91,13991889,1569,6270,0,2018-04-13 02:01:26,2018-04-13 02:01:26
3.88,13991889,1570,6274,0,2018-04-13 02:01:37,2018-04-13 02:01:37
4.10,13991889,1744,6969,0,2018-03-01 06:43:19,2018-03-01 06:43:19
2.10,13991889,1745,6975,0,2018-03-01 06:43:29,2018-03-01 06:43:29
1.56,13991889,1746,6980,391,2018-03-01 06:43:40,2018-03-01 06:43:40
6.61,13991889,1747,6981,277,2018-03-01 06:43:53,2018-03-01 06:43:53
3.20,13991889,1748,6986,345,2018-03-01 06:44:03,2018-03-01 06:44:03
3.60,13991889,1749,6989,335,2018-03-01 06:44:14,2018-03-01 06:44:14
7.84,13991889,1750,6994,257,2018-03-01 06:44:27,2018-03-01 06:44:27
4.63,13991889,1751,6997,313,2018-03-01 06:44:39,2018-03-01 06:44:39
6.67,13991889,1752,7003,276,2018-03-01 06:44:54,2018-03-01 06:44:54
1.33,13991889,1753,7005,400,2018-03-01 06:45:03,2018-03-01 06:45:03
1.13,13991889,1867,7464,408,2017-10-14 17:10:21,2017-10-14 17:10:21
1.91,13991889,1868,7465,380,2017-10-14 17:10:31,2017-10-14 17:10:31
1.84,13991889,1869,7471,0,2017-10-14 17:10:41,2017-10-14 17:10:41
0.94,13991889,1870,7473,416,2017-10-14 17:10:47,2017-10-14 17:10:47
1.13,13991889,1871,7478,0,2017-10-14 17:10:56,2017-10-14 17:10:56
3.20,13991889,1872,7482,345,2017-10-14 17:11:08,2017-10-14 17:11:08
0.76,13991889,1873,7486,424,2017-10-14 17:11:16,2017-10-14 17:11:16
2.01,13991889,1874,7491,377,2017-10-14 17:11:25,2017-10-14 17:11:25
2.87,13991889,1875,7493,0,2017-10-14 17:11:36,2017-10-14 17:11:36
5.62,13991889,1876,7500,0,2017-10-14 17:11:47,2017-10-14 17:11:47
2.43,13991889,1991,7957,0,2018-03-01 06:38:56,2018-03-01 06:38:56
3.58,13991889,1992,7962,0,2018-03-01 06:39:06,2018-03-01 06:39:06
2.63,13991889,1993,7967,0,2018-03-01 06:39:17,2018-03-01 06:39:17
3.97,13991889,1994,7972,327,2018-03-01 06:39:26,2018-03-01 06:39:26
5.59,13991889,1995,7975,295,2018-03-01 06:39:38,2018-03-01 06:39:38
7.83,13991889,1996,7980,0,2018-03-01 06:39:51,2018-03-01 06:39:51
8.53,13991889,1997,7981,0,2018-03-01 06:40:05,2018-03-01 06:40:05
3.17,13991889,1998,7985,345,2018-03-01 06:40:16,2018-03-01 06:40:16
9.51,13991889,1999,7990,0,2018-03-01 06:40:34,2018-03-01 06:40:34
10.35,13991889,2000,7993,0,2018-03-01 06:40:53,2018-03-01 06:40:53
4.20,13991889,2013,8045,0,2018-03-01 06:41:16,2018-03-01 06:41:16
3.18,13991889,2014,8050,0,2018-03-01 06:41:26,2018-03-01 06:41:26
7.48,13991889,2015,8056,263,2018-03-01 06:41:42,2018-03-01 06:41:42
3.30,13991889,2016,8058,342,2018-03-01 06:41:52,2018-03-01 06:41:52
3.08,13991889,2017,8061,347,2018-03-01 06:42:02,2018-03-01 06:42:02
4.02,13991889,2018,8068,0,2018-03-01 06:42:12,2018-03-01 06:42:12
3.52,13991889,2019,8070,337,2018-03-01 06:42:21,2018-03-01 06:42:21
4.57,13991889,2020,8073,314,2018-03-01 06:42:33,2018-03-01 06:42:33
4.85,13991889,2021,8077,0,2018-03-01 06:42:43,2018-03-01 06:42:43
4.13,13991889,2022,8083,323,2018-03-01 06:42:52,2018-03-01 06:42:52
2.06,13991889,2077,8303,0,2018-04-13 02:02:02,2018-04-13 02:02:02
7.34,13991889,2078,8306,265,2018-04-13 02:02:16,2018-04-13 02:02:16
4.30,13991889,2079,8311,320,2018-04-13 02:02:25,2018-04-13 02:02:25
5.39,13991889,2080,8313,298,2018-04-13 02:02:36,2018-04-13 02:02:36
1.69,13991889,2081,8320,0,2018-04-13 02:02:44,2018-04-13 02:02:44
4.19,13991889,2082,8324,322,2018-04-13 02:02:54,2018-04-13 02:02:54
6.16,13991889,2083,8325,285,2018-04-13 02:03:08,2018-04-13 02:03:08
4.68,13991889,2084,8330,312,2018-04-13 02:03:17,2018-04-13 02:03:17
1.93,13991889,2085,8333,379,2018-04-13 02:03:24,2018-04-13 02:03:24
1.54,13991889,2086,8337,392,2018-04-13 02:03:32,2018-04-13 02:03:32
3.50,13991889,2229,8910,337,2017-11-24 04:33:01,2017-11-24 04:33:01
3.37,13991889,2230,8914,340,2017-11-24 04:33:14,2017-11-24 04:33:14
8.05,13991889,2231,8920,254,2017-11-24 04:33:28,2017-11-24 04:33:28
3.11,13991889,2232,8923,0,2017-11-24 04:33:38,2017-11-24 04:33:38
2.81,13991889,2233,8926,354,2017-11-24 04:33:49,2017-11-24 04:33:49
7.18,13991889,2234,8929,267,2017-11-24 04:34:03,2017-11-24 04:34:03
2.02,13991889,2235,8933,0,2017-11-24 04:34:12,2017-11-24 04:34:12
11.20,13991889,2236,8938,0,2017-11-24 04:34:34,2017-11-24 04:34:34
1.57,13991889,2237,8941,391,2017-11-24 04:34:41,2017-11-24 04:34:41
1.21,13991889,2238,8946,404,2017-11-24 04:34:48,2017-11-24 04:34:48
3.86,13991889,2371,9480,0,2017-11-24 04:36:37,2017-11-24 04:36:37
5.34,13991889,2372,9484,299,2017-11-24 04:36:50,2017-11-24 04:36:50
2.84,13991889,2373,9486,354,2017-11-24 04:36:58,2017-11-24 04:36:58
6.31,13991889,2374,9492,282,2017-11-24 04:37:11,2017-11-24 04:37:11
3.99,13991889,2375,9493,0,2017-11-24 04:37:23,2017-11-24 04:37:23
1.34,13991889,2376,9499,399,2017-11-24 04:37:30,2017-11-24 04:37:30
1.87,13991889,2377,9504,0,2017-11-24 04:37:38,2017-11-24 04:37:38
3.52,13991889,2378,9505,337,2017-11-24 04:37:49,2017-11-24 04:37:49
3.66,13991889,2379,9509,334,2017-11-24 04:37:59,2017-11-24 04:37:59
3.99,13991889,2380,9516,326,2017-11-24 04:38:10,2017-11-24 04:38:10
3.92,13991889,3084,12331,0,2018-02-27 01:21:15,2018-02-27 01:21:15
12,13991889,3085,,0,2018-02-27 01:21:44,2018-02-27 01:21:44
1.68,13991889,3086,12337,387,2018-02-27 01:21:24,2018-02-27 01:21:24
2.68,13991889,3088,12348,0,2018-02-27 01:22:16,2018-02-27 01:22:16
5.92,13991889,3090,12354,0,2018-02-27 01:21:57,2018-02-27 01:21:57
1.93,13991889,3091,12359,0,2018-02-27 01:22:08,2018-02-27 01:22:08
4.19,13991889,4494,17949,0,2018-11-25 19:45:23,2018-11-25 19:45:23
2.74,13991889,4495,17954,0,2018-11-25 19:44:40,2018-11-25 19:44:40
6.76,13991889,4496,17958,0,2018-11-25 19:46:08,2018-11-25 19:46:08
9.05,13991889,4497,17964,239,2018-11-25 19:46:26,2018-11-25 19:46:26
4.56,13991889,4498,17965,315,2018-11-25 19:46:36,2018-11-25 19:46:36
1.92,13991889,4499,17970,379,2018-11-25 19:45:11,2018-11-25 19:45:11
2.54,13991889,4500,17975,0,2018-11-25 19:45:01,2018-11-25 19:45:01
4.91,13991889,4501,17980,0,2018-11-25 19:45:55,2018-11-25 19:45:55
3.16,13991889,4502,17981,346,2018-11-25 19:44:50,2018-11-25 19:44:50
12,13991889,4503,,0,2018-11-25 19:45:42,2018-11-25 19:45:42
