episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
1,13991889,155935,4,2019-10-23 15:47:24,2019-10-23 15:47:24,Avatar: The Last Airbender,1
2,13991889,155936,4,2019-10-23 15:47:27,2019-10-23 15:47:27,Avatar: The Last Airbender,1
3,13991889,155937,4,2019-10-23 15:47:30,2019-10-23 15:47:30,Avatar: The Last Airbender,1
4,13991889,155938,1,2019-10-23 15:47:02,2019-10-23 15:47:02,Avatar: The Last Airbender,1
14,13991889,155947,4,2019-11-02 07:41:51,2019-11-02 07:41:51,Avatar: The Last Airbender,1
1,13991889,296054,1,2019-10-30 15:41:34,2019-10-30 15:41:34,Drawn Together,1
15,13991889,300635,4,2019-11-06 21:23:06,2019-11-06 21:23:06,Avatar: The Last Airbender,1
16,13991889,301700,4,2019-11-06 21:49:08,2019-11-06 21:49:08,Avatar: The Last Airbender,1
1,13991889,3254641,1,2019-05-24 12:14:44,2019-05-24 12:14:44,Game of Thrones,1
2,13991889,3436411,1,2019-05-24 12:14:57,2019-05-24 12:14:57,Game of Thrones,1
3,13991889,3436421,1,2019-05-25 22:39:35,2019-05-25 22:39:35,Game of Thrones,1
5,13991889,3436441,1,2019-05-26 16:08:14,2019-05-26 16:08:14,Game of Thrones,1
4,13991889,4123350,1,2019-02-25 19:12:57,2019-02-25 19:12:57,Breaking Bad,4
5,13991889,4123351,1,2019-02-25 19:12:38,2019-02-25 19:12:38,Breaking Bad,4
1,13991889,4663020,1,2019-04-02 00:03:56,2019-04-02 00:03:56,Better Call Saul,1
5,13991889,4710226,4,2018-07-31 18:53:36,2018-07-31 18:53:36,Steven Universe,1
6,13991889,4710227,1,2018-07-31 17:22:47,2018-07-31 17:22:47,Steven Universe,1
7,13991889,4727778,1,2018-07-31 17:33:55,2018-07-31 17:33:55,Steven Universe,1
8,13991889,4753096,1,2018-07-31 18:53:20,2018-07-31 18:53:20,Steven Universe,1
9,13991889,4753097,1,2018-08-02 01:00:37,2018-08-02 01:00:37,Steven Universe,1
10,13991889,4753098,1,2018-08-02 01:00:46,2018-08-02 01:00:46,Steven Universe,1
11,13991889,4796466,1,2018-08-02 21:19:50,2018-08-02 21:19:50,Steven Universe,1
12,13991889,4796468,1,2018-08-02 21:19:57,2018-08-02 21:19:57,Steven Universe,1
13,13991889,4811303,1,2018-08-03 19:18:24,2018-08-03 19:18:24,Steven Universe,1
14,13991889,4811304,1,2018-08-03 19:18:42,2018-08-03 19:18:42,Steven Universe,1
15,13991889,4811305,1,2018-08-03 19:19:31,2018-08-03 19:19:31,Steven Universe,1
16,13991889,4852044,1,2018-08-03 19:19:36,2018-08-03 19:19:36,Steven Universe,1
17,13991889,4852045,1,2018-08-05 04:41:17,2018-08-05 04:41:17,Steven Universe,1
18,13991889,4852046,1,2018-08-05 04:42:27,2018-08-05 04:42:27,Steven Universe,1
19,13991889,4852047,1,2018-08-12 02:11:48,2018-08-12 02:11:48,Steven Universe,1
20,13991889,4881757,1,2018-08-12 02:11:39,2018-08-12 02:11:39,Steven Universe,1
21,13991889,4890897,1,2018-08-12 02:11:24,2018-08-12 02:11:24,Steven Universe,1
1,13991889,4942078,1,2020-02-26 06:15:07,2020-02-26 06:15:07,The Seven Deadly Sins,1
22,13991889,4976674,1,2018-08-12 02:11:20,2018-08-12 02:11:20,Steven Universe,1
23,13991889,4990266,1,2018-08-12 02:11:07,2018-08-12 02:11:07,Steven Universe,1
24,13991889,4990267,1,2018-08-12 02:11:02,2018-08-12 02:11:02,Steven Universe,1
25,13991889,4990268,1,2018-08-12 02:10:56,2018-08-12 02:10:56,Steven Universe,1
26,13991889,4990269,1,2018-08-12 02:10:45,2018-08-12 02:10:45,Steven Universe,1
27,13991889,5002364,1,2018-08-12 02:56:15,2018-08-12 02:56:15,Steven Universe,1
28,13991889,5002365,4,2018-08-12 02:40:57,2018-08-12 02:40:57,Steven Universe,1
29,13991889,5012562,4,2018-08-12 02:26:06,2018-08-12 02:26:06,Steven Universe,1
30,13991889,5012563,4,2018-08-12 02:10:29,2018-08-12 02:10:29,Steven Universe,1
31,13991889,5012564,1,2018-08-13 22:58:58,2018-08-13 22:58:58,Steven Universe,1
