external_id,data_received,created_at,updated_at,data_processed,user_id,id,source
1500531793261-4097036045917898120,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-07-20 06:23:00.000+0000"",""download_time"":""2017-07-20 06:23:00"",""operator"":""Claro AR"",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""190.18.243.34"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Los Sauces"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-07-20 18:28:46.277+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-07-20 18:28:46.277+0000"",""currency"":null,""install_time"":""2017-07-20 18:28:46"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-07-20 18:28:46"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1500531793261-4097036045917898120"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""306cefdd-854a-4442-830e-6e03c33c4efc"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":""Claro AR"",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.3.0-17070301"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""7.1.2"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-07-20 18:29:23,2019-02-11 20:57:51,1,13991889,1061707,AppsFlyer
1501469231171-637723310647504538,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-07-31 02:47:00.000+0000"",""download_time"":""2017-07-31 02:47:00"",""operator"":""Claro AR"",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""186.137.230.109"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Los Sauces"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-07-31 04:00:20.453+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-07-31 04:00:20.453+0000"",""currency"":null,""install_time"":""2017-07-31 04:00:20"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-07-31 04:00:20"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1501469231171-637723310647504538"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""c6a2b113-4920-4367-8303-5c6ce136612e"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":""Claro AR"",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.4.0-17071803"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""7.1.2"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-07-31 04:00:52,2019-02-11 21:11:26,1,13991889,1213344,AppsFlyer
1505156507927-7047735099473772435,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-09-11 19:01:00.000+0000"",""download_time"":""2017-09-11 19:01:00"",""operator"":""Claro AR"",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""181.29.179.74"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Alejo Ledesma"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-09-11 19:40:36.794+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-09-11 19:40:36.794+0000"",""currency"":null,""install_time"":""2017-09-11 19:40:36"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-09-11 19:40:36"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1505156507927-7047735099473772435"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""c2f845d3-3635-4648-9949-caa700724b5e"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":""Claro AR"",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.8.0-17090603"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""7.1.2"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-09-11 19:41:13,2019-02-12 01:05:13,1,13991889,1837557,AppsFlyer
1507137919623-2606697630947227113,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-10-04 17:25:00.000+0000"",""download_time"":""2017-10-04 17:25:00"",""operator"":""Claro AR"",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""181.29.179.52"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Alejo Ledesma"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-10-04 17:30:48.747+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-10-04 17:30:48.747+0000"",""currency"":null,""install_time"":""2017-10-04 17:30:48"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-10-04 17:30:48"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1507137919623-2606697630947227113"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""534a4cb0-54ff-43c7-adc8-8f5981d2813c"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":""Claro AR"",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.9.0-17092101"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""7.1.2"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-10-04 17:31:22,2019-02-12 01:36:29,1,13991889,2202885,AppsFlyer
1508635448780-7435448069109305982,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-10-22 01:24:00.000+0000"",""download_time"":""2017-10-22 01:24:00"",""operator"":"""",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""181.29.174.105"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Saldan"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-10-22 01:31:18.243+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-10-22 01:31:18.243+0000"",""currency"":null,""install_time"":""2017-10-22 01:31:18"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-10-22 01:31:18"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1508635448780-7435448069109305982"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""16672cb6-ac69-445f-a1fd-31e7e04be214"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":"""",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.10.1-17100906"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""5.0.1"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-10-22 01:32:05,2019-02-12 02:03:22,1,13991889,2489473,AppsFlyer
1509198039966-8124500649868482610,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-10-28 13:40:00.000+0000"",""download_time"":""2017-10-28 13:40:00"",""operator"":"""",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""181.29.174.105"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Saldan"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-10-28 16:20:25.185+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-10-28 16:20:25.185+0000"",""currency"":null,""install_time"":""2017-10-28 16:20:25"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-10-28 16:20:25"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1509198039966-8124500649868482610"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""085b92af-d6cf-4fa5-b011-41b563be5609"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":"""",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.10.1-17100906"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""5.0.1"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-10-28 16:20:56,2019-02-12 02:12:42,1,13991889,2599087,AppsFlyer
1511902527091-7459602369456158558,"{""device_model"":""GT-I9500"",""fb_adgroup_id"":null,""click_time_selected_timezone"":null,""download_time_selected_timezone"":""2017-11-28 20:55:00.000+0000"",""download_time"":""2017-11-28 20:55:00"",""operator"":""Claro AR"",""af_keywords"":null,""attributed_touch_time"":null,""click_time"":null,""agency"":null,""ip"":""181.228.227.34"",""cost_per_install"":null,""fb_campaign_id"":null,""imei"":null,""is_retargeting"":false,""app_name"":""TV Time: TV Show Tracker"",""re_targeting_conversion_type"":null,""android_id"":null,""city"":""Cordoba"",""af_sub1"":null,""af_sub2"":null,""event_value"":null,""cost_in_selected_currency"":null,""af_sub3"":null,""fb_adset_name"":null,""af_sub4"":null,""customer_user_id"":null,""mac"":null,""af_sub5"":null,""install_time_selected_timezone"":""2017-11-28 20:59:07.771+0000"",""campaign"":null,""event_name"":null,""event_time_selected_timezone"":""2017-11-28 20:59:07.771+0000"",""currency"":null,""install_time"":""2017-11-28 20:59:07"",""fb_adgroup_name"":null,""attributed_touch_type"":null,""event_time"":""2017-11-28 20:59:07"",""platform"":""android"",""sdk_version"":""5.0"",""appsflyer_device_id"":""1511902527091-7459602369456158558"",""selected_currency"":""USD"",""wifi"":true,""advertising_id"":""63869026-513e-47fd-9352-05beb92b7f02"",""media_source"":""Organic"",""country_code"":""AR"",""http_referrer"":null,""fb_campaign_name"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""click_url"":null,""carrier"":""Claro AR"",""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.12.0-17111702"",""attribution_type"":""organic"",""af_siteid"":null,""os_version"":""5.0.1"",""fb_adset_id"":null,""device_brand"":""samsung"",""event_type"":""install""}",2017-11-28 20:59:39,2019-02-12 04:36:18,1,13991889,3049583,AppsFlyer
1517701588699-7864541086586265942,"{""mac"":null,""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.14.0-18011701"",""city"":""Los Chanaritos"",""fb_campaign_id"":null,""device_model"":""Mi A1"",""selected_currency"":""USD"",""app_name"":""TV Time: TV Show Tracker"",""install_time_selected_timezone"":""2018-02-03 23:53:06.047+0000"",""wifi"":true,""install_time"":""2018-02-03 23:53:06"",""operator"":""Claro AR"",""fb_adgroup_id"":null,""currency"":null,""attributed_touch_type"":null,""re_targeting_conversion_type"":null,""attributed_touch_time"":null,""click_time_selected_timezone"":null,""is_retargeting"":false,""country_code"":""AR"",""event_type"":""install"",""appsflyer_device_id"":""1517701588699-7864541086586265942"",""http_referrer"":null,""af_sub5"":null,""fb_campaign_name"":null,""click_url"":null,""media_source"":""Organic"",""campaign"":null,""af_keywords"":null,""cost_in_selected_currency"":null,""event_value"":null,""ip"":""181.29.180.174"",""event_time"":""2018-02-03 23:53:06"",""click_time"":null,""af_sub4"":null,""imei"":null,""fb_adgroup_name"":null,""af_sub2"":null,""attribution_type"":""organic"",""android_id"":null,""fb_adset_id"":null,""agency"":null,""fb_adset_name"":null,""cost_per_install"":null,""device_brand"":""xiaomi"",""download_time"":""2018-02-03 23:46:00"",""af_siteid"":null,""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""carrier"":""Claro AR"",""event_name"":null,""advertising_id"":""f19167b1-722f-468f-addb-27959befc350"",""os_version"":""7.1.2"",""platform"":""android"",""af_sub3"":null,""download_time_selected_timezone"":""2018-02-03 23:46:00.000+0000"",""sdk_version"":""v4.5.0"",""event_time_selected_timezone"":""2018-02-03 23:53:06.047+0000""}",2018-02-03 23:53:58,2019-02-12 06:38:44,1,13991889,4121709,AppsFlyer
1517702746679-7439792719425743500,"{""mac"":null,""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""app_version"":""4.14.0-18011701"",""city"":""Los Chanaritos"",""fb_campaign_id"":null,""device_model"":""Mi A1"",""selected_currency"":""USD"",""app_name"":""TV Time: TV Show Tracker"",""install_time_selected_timezone"":""2018-02-04 00:17:07.212+0000"",""wifi"":true,""install_time"":""2018-02-04 00:17:07"",""operator"":""Claro AR"",""fb_adgroup_id"":null,""currency"":null,""attributed_touch_type"":null,""re_targeting_conversion_type"":null,""attributed_touch_time"":null,""click_time_selected_timezone"":null,""is_retargeting"":false,""country_code"":""AR"",""event_type"":""install"",""appsflyer_device_id"":""1517702746679-7439792719425743500"",""http_referrer"":null,""af_sub5"":null,""fb_campaign_name"":null,""click_url"":null,""media_source"":""Organic"",""campaign"":null,""af_keywords"":null,""cost_in_selected_currency"":null,""event_value"":null,""ip"":""181.29.180.174"",""event_time"":""2018-02-04 00:17:07"",""click_time"":null,""af_sub4"":null,""imei"":null,""fb_adgroup_name"":null,""af_sub2"":null,""attribution_type"":""organic"",""android_id"":null,""fb_adset_id"":null,""agency"":null,""fb_adset_name"":null,""cost_per_install"":null,""device_brand"":""xiaomi"",""download_time"":""2018-02-04 00:05:00"",""af_siteid"":null,""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""carrier"":""Claro AR"",""event_name"":null,""advertising_id"":""798af660-e052-4249-945e-41132610f688"",""os_version"":""8.0.0"",""platform"":""android"",""af_sub3"":null,""download_time_selected_timezone"":""2018-02-04 00:05:00.000+0000"",""sdk_version"":""v4.5.0"",""event_time_selected_timezone"":""2018-02-04 00:17:07.212+0000""}",2018-02-04 00:17:40,2019-02-12 06:38:45,1,13991889,4121984,AppsFlyer
1548489212528-6176167714571687390,"{""mac"":null,""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""app_version"":""7.4.1-19011403"",""city"":""Alejo Ledesma"",""fb_campaign_id"":null,""device_model"":""Redmi Note 5"",""selected_currency"":""USD"",""app_name"":""TV Time: Track and Discover Shows"",""install_time_selected_timezone"":""2019-01-26 07:53:36.230+0000"",""wifi"":true,""install_time"":""2019-01-26 07:53:36"",""operator"":""Claro AR"",""fb_adgroup_id"":null,""currency"":null,""attributed_touch_type"":null,""re_targeting_conversion_type"":null,""attributed_touch_time"":null,""click_time_selected_timezone"":null,""is_retargeting"":false,""country_code"":""AR"",""event_type"":""install"",""appsflyer_device_id"":""1548489212528-6176167714571687390"",""http_referrer"":null,""af_sub5"":null,""fb_campaign_name"":null,""click_url"":null,""media_source"":""Organic"",""campaign"":null,""af_keywords"":null,""cost_in_selected_currency"":null,""event_value"":null,""ip"":""181.28.4.150"",""event_time"":""2019-01-26 07:53:36"",""click_time"":null,""af_sub4"":null,""imei"":null,""fb_adgroup_name"":null,""af_sub2"":null,""attribution_type"":""organic"",""android_id"":null,""fb_adset_id"":null,""agency"":null,""fb_adset_name"":null,""cost_per_install"":null,""device_brand"":""xiaomi"",""download_time"":""2019-01-26 06:46:08"",""af_siteid"":null,""language"":""español"",""app_id"":""com.tozelabs.tvshowtime"",""carrier"":""Claro AR"",""event_name"":null,""advertising_id"":""2f552628-702a-4c23-b603-b8519d0928c6"",""os_version"":""8.1.0"",""platform"":""android"",""af_sub3"":null,""download_time_selected_timezone"":""2019-01-26 06:46:08.000+0000"",""sdk_version"":""v4.8.12"",""event_time_selected_timezone"":""2019-01-26 07:53:36.230+0000""}",2019-01-26 07:54:10,2019-01-27 05:32:45,1,13991889,9069678,AppsFlyer
